Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 13:15:02,submitting @ 2017-11-13 13:15:02,authing @ 2017-11-13 13:15:02,launching @ 2017-11-13 13:15:02,running @ 2017-11-13 13:15:02,closing @ 2017-11-13 13:15:07,completed @ 2017-11-13 13:15:07
s2-prepare,prepare-write,prepare,6000,192000000000,8122.1,670.23,8460,9710,10750,11650,12620,15610,1.97,63051628.26,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 13:15:10,submitting @ 2017-11-13 13:15:10,authing @ 2017-11-13 13:15:10,launching @ 2017-11-13 13:15:10,running @ 2017-11-13 13:15:10,closing @ 2017-11-13 14:07:18,completed @ 2017-11-13 14:07:18
s3-main-1worker,read,read,37,1184000000,978.16,29.49,970,1050,1150,1180,1300,1410,0.62,19901501.02,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:07:18,submitting @ 2017-11-13 14:07:18,authing @ 2017-11-13 14:07:18,launching @ 2017-11-13 14:07:18,running @ 2017-11-13 14:07:18,closing @ 2017-11-13 14:08:24,completed @ 2017-11-13 14:08:24
s3-main-1worker,write,write,22,704000000,1058.86,30.18,1050,1080,1150,1180,1200,1250,0.37,11833324.93,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:07:18,submitting @ 2017-11-13 14:07:18,authing @ 2017-11-13 14:07:18,launching @ 2017-11-13 14:07:18,running @ 2017-11-13 14:07:18,closing @ 2017-11-13 14:08:24,completed @ 2017-11-13 14:08:24
s4-main-4workers,read,read,96,3072000000,1620.78,91.75,1600,1880,2090,2180,2490,2620,1.62,51959983.94,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:08:26,submitting @ 2017-11-13 14:08:26,authing @ 2017-11-13 14:08:26,launching @ 2017-11-13 14:08:26,running @ 2017-11-13 14:08:26,closing @ 2017-11-13 14:09:31,completed @ 2017-11-13 14:09:31
s4-main-4workers,write,write,36,1152000000,2243.92,114.92,2360,2550,2710,2790,3100,3180,0.61,19550122.26,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:08:26,submitting @ 2017-11-13 14:08:26,authing @ 2017-11-13 14:08:26,launching @ 2017-11-13 14:08:26,running @ 2017-11-13 14:08:26,closing @ 2017-11-13 14:09:31,completed @ 2017-11-13 14:09:31
s5-main-8workers,read,read,92,2944000000,3233.33,191.32,3300,4290,4530,4890,5440,6610,1.59,50895259.14,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:09:34,submitting @ 2017-11-13 14:09:34,authing @ 2017-11-13 14:09:34,launching @ 2017-11-13 14:09:34,running @ 2017-11-13 14:09:34,closing @ 2017-11-13 14:10:39,completed @ 2017-11-13 14:10:39
s5-main-8workers,write,write,30,960000000,5483.7,418.8,5850,6580,6910,7110,7820,7980,0.52,16664985.98,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:09:34,submitting @ 2017-11-13 14:09:34,authing @ 2017-11-13 14:09:34,launching @ 2017-11-13 14:09:34,running @ 2017-11-13 14:09:34,closing @ 2017-11-13 14:10:39,completed @ 2017-11-13 14:10:39
s6-main-16workers,read,read,97,3104000000,5211.41,421.95,5190,6230,7760,8690,9460,10130,1.73,55286766.64,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:10:42,submitting @ 2017-11-13 14:10:42,authing @ 2017-11-13 14:10:42,launching @ 2017-11-13 14:10:42,running @ 2017-11-13 14:10:42,closing @ 2017-11-13 14:11:47,completed @ 2017-11-13 14:11:47
s6-main-16workers,write,write,35,1120000000,11340.4,1252.26,11740,12830,13660,15540,16140,16190,0.62,19693587.43,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:10:42,submitting @ 2017-11-13 14:10:42,authing @ 2017-11-13 14:10:42,launching @ 2017-11-13 14:10:42,running @ 2017-11-13 14:10:42,closing @ 2017-11-13 14:11:47,completed @ 2017-11-13 14:11:47
s7-main-32workers,read,read,99,3168000000,8745.71,930.92,9030,10200,11120,11990,13450,14170,1.91,60988217.05,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:11:50,submitting @ 2017-11-13 14:11:50,authing @ 2017-11-13 14:11:50,launching @ 2017-11-13 14:11:50,running @ 2017-11-13 14:11:51,closing @ 2017-11-13 14:13:01,completed @ 2017-11-13 14:13:01
s7-main-32workers,write,write,33,1056000000,24262.79,2385.48,24930,26080,26720,27820,30570,30920,0.64,20494854.98,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:11:50,submitting @ 2017-11-13 14:11:50,authing @ 2017-11-13 14:11:50,launching @ 2017-11-13 14:11:50,running @ 2017-11-13 14:11:51,closing @ 2017-11-13 14:13:01,completed @ 2017-11-13 14:13:01
s8-main-64workers,read,read,100,3200000000,15493.76,1578.06,16570,18240,19150,19420,21680,23310,2.75,87892712.37,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:13:03,submitting @ 2017-11-13 14:13:03,authing @ 2017-11-13 14:13:03,launching @ 2017-11-13 14:13:04,running @ 2017-11-13 14:13:04,closing @ 2017-11-13 14:14:19,completed @ 2017-11-13 14:14:19
s8-main-64workers,write,write,12,384000000,59275.08,2806.42,59230,59560,59760,59900,59900,59970,0.2,6478606.72,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:13:03,submitting @ 2017-11-13 14:13:03,authing @ 2017-11-13 14:13:03,launching @ 2017-11-13 14:13:04,running @ 2017-11-13 14:13:04,closing @ 2017-11-13 14:14:19,completed @ 2017-11-13 14:14:19
s9-main-128workers,read,read,98,3136000000,35092.71,1816.8,36500,37980,39190,40910,43110,43320,2.55,81583899.5,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:14:21,submitting @ 2017-11-13 14:14:21,authing @ 2017-11-13 14:14:22,launching @ 2017-11-13 14:14:22,running @ 2017-11-13 14:14:23,closing @ 2017-11-13 14:15:58,completed @ 2017-11-13 14:15:58
s9-main-128workers,write,write,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:14:21,submitting @ 2017-11-13 14:14:21,authing @ 2017-11-13 14:14:22,launching @ 2017-11-13 14:14:22,running @ 2017-11-13 14:14:23,closing @ 2017-11-13 14:15:58,completed @ 2017-11-13 14:15:58
s10-main-256workers,read,read,9,288000000,52182.67,1186.33,56310,57650,58150,58150,58150,59260,0.18,5715523.47,100%,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:16:00,submitting @ 2017-11-13 14:16:00,authing @ 2017-11-13 14:16:01,launching @ 2017-11-13 14:16:02,running @ 2017-11-13 14:16:02,closing @ 2017-11-13 14:17:57,completed @ 2017-11-13 14:17:57
s10-main-256workers,write,write,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:16:00,submitting @ 2017-11-13 14:16:00,authing @ 2017-11-13 14:16:01,launching @ 2017-11-13 14:16:02,running @ 2017-11-13 14:16:02,closing @ 2017-11-13 14:17:57,completed @ 2017-11-13 14:17:57
s11-main-512workers,read,read,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,cancelled,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:17:59,submitting @ 2017-11-13 14:17:59,authing @ 2017-11-13 14:18:02,launching @ 2017-11-13 14:18:02,running @ 2017-11-13 14:18:03,cancelled @ 2017-11-13 15:20:34
s11-main-512workers,write,write,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,cancelled,waiting @ 2017-11-13 11:33:06,booting @ 2017-11-13 14:17:59,submitting @ 2017-11-13 14:17:59,authing @ 2017-11-13 14:18:02,launching @ 2017-11-13 14:18:02,running @ 2017-11-13 14:18:03,cancelled @ 2017-11-13 15:20:34
cleanup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 11:33:06,cancelled @ 2017-11-13 15:20:34
dispose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 11:33:06,cancelled @ 2017-11-13 15:20:34
