Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
14:11:58,0,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0
14:12:03,12,0,384000000,0,8726.5,N/A,300.67,N/A,1.4,0,44808121.49,0,100%,N/A,1,1,1
14:12:08,11,0,352000000,0,10922.45,N/A,433.45,N/A,1.92,0,61425946.73,0,100%,N/A,2,2,2
14:12:13,9,0,288000000,0,8715.22,N/A,1030.44,N/A,1.64,0,52533009.1,0,100%,N/A,3,3,3
14:12:18,3,5,96000000,160000000,9743.33,23994.8,1449.33,1233.4,0.62,0.83,19752932.43,26690705.89,100%,100%,4,4,4
14:12:23,9,7,288000000,224000000,9418.89,24424.71,568.33,1472.14,1.88,1.36,60210608.07,43375635.65,100%,100%,5,5,5
14:12:28,9,7,288000000,224000000,7163.67,22437.43,314.67,2580.43,1.54,1.38,49427860.81,44045795.29,100%,100%,6,6,6
14:12:33,7,1,224000000,32000000,8655,19137,2033.43,1995,1.44,0.21,45946926.83,6688613.68,100%,100%,7,7,7
14:12:38,11,3,352000000,96000000,8077.09,22590,983.27,1703,2.5,0.62,80136971.36,19838023.36,100%,100%,8,8,8
14:12:43,8,2,256000000,64000000,7811.75,23567.5,1652.12,3779.5,1.41,0.38,45067097.07,12182702.35,100%,100%,9,9,9
14:12:48,11,3,352000000,96000000,8711.36,26110.67,1030.73,2145.33,2.14,0.61,68459230.45,19590747.94,100%,100%,10,10,10
14:12:53,9,5,288000000,160000000,8477.56,28057.8,1401.22,4617.4,1.63,1,52051263.4,31848222.35,100%,100%,11,11,11
14:12:58,0,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,12,12,12
14:13:03,0,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,13,13,13
