BlockSize(K),Bytes,Time(s),TransferRate(MB/s),TimeStamp
128,131072,0.000598962,219,2017-11-01 14:13:27
128,131072,0.000642154,204,2017-11-01 14:12:32
128,131072,0.000621643,211,2017-11-01 14:12:39
128,131072,0.000603589,217,2017-11-01 14:12:46
128,131072,0.000528765,248,2017-11-01 14:12:53
128,131072,0.000683869,192,2017-11-01 14:13:00
128,131072,0.000611478,214,2017-11-01 14:13:06
128,131072,0.000602026,218,2017-11-01 14:13:13
128,131072,0.000655396,200,2017-11-01 14:13:20
128,131072,0.000634882,206,2017-11-01 14:12:26
131072,134217728,0.142363,943,2017-11-01 14:13:27
131072,134217728,0.145424,923,2017-11-01 14:12:32
131072,134217728,0.144192,931,2017-11-01 14:12:39
131072,134217728,0.143892,933,2017-11-01 14:12:46
131072,134217728,0.143736,934,2017-11-01 14:12:53
131072,134217728,0.11748,1126.4,2017-11-01 14:13:00
131072,134217728,0.131928,1024.0,2017-11-01 14:13:06
131072,134217728,0.13976,960,2017-11-01 14:13:13
131072,134217728,0.144676,928,2017-11-01 14:13:20
131072,134217728,0.113032,1228.8,2017-11-01 14:12:26
1232896,1073741824,2.03145,529,2017-11-01 14:13:29
1232896,1073741824,2.02122,531,2017-11-01 14:12:34
1232896,1073741824,2.03088,529,2017-11-01 14:12:41
1232896,1073741824,2.02125,531,2017-11-01 14:12:48
1232896,1073741824,2.06482,520,2017-11-01 14:12:55
1232896,1073741824,1.57842,680,2017-11-01 14:13:02
1232896,1073741824,2.0543,523,2017-11-01 14:13:08
1232896,1073741824,2.01258,534,2017-11-01 14:13:15
1232896,1073741824,2.06384,520,2017-11-01 14:13:22
1232896,1073741824,2.00484,536,2017-11-01 14:12:27
1024,1048576,0.00271079,387,2017-11-01 14:13:27
1024,1048576,0.00362375,289,2017-11-01 14:12:32
1024,1048576,0.0029422,356,2017-11-01 14:12:39
1024,1048576,0.00280718,374,2017-11-01 14:12:46
1024,1048576,0.00275011,381,2017-11-01 14:12:53
1024,1048576,0.00279695,375,2017-11-01 14:13:00
1024,1048576,0.00252669,415,2017-11-01 14:13:06
1024,1048576,0.00270556,388,2017-11-01 14:13:13
1024,1048576,0.00285289,368,2017-11-01 14:13:20
1024,1048576,0.00218077,481,2017-11-01 14:12:26
4,4096,0.000398455,10.3,2017-11-01 14:13:27
4,4096,0.00037789,10.8,2017-11-01 14:12:32
4,4096,0.000339016,12.1,2017-11-01 14:12:39
4,4096,0.000458907,8.9,2017-11-01 14:12:46
4,4096,0.0004538,9.0,2017-11-01 14:12:53
4,4096,0.000437763,9.4,2017-11-01 14:12:59
4,4096,0.000457164,9.0,2017-11-01 14:13:06
4,4096,0.000326154,12.6,2017-11-01 14:13:13
4,4096,0.000386551,10.6,2017-11-01 14:13:20
4,4096,0.0040734,1.0,2017-11-01 14:12:26
4096,4194304,0.00510642,821,2017-11-01 14:13:27
