Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
10:19:03,1360,0,59.31,59.31,269.79,0,100%,0,0,0
10:19:08,1312,0,61.37,61.37,260.68,0,100%,1,1,1
10:19:13,1252,0,64.3,64.3,248.78,0,100%,2,2,2
10:19:18,1234,0,65.13,65.13,245.61,0,100%,3,3,3
10:19:23,907,0,66.65,66.65,180.05,0,100%,4,4,4
10:19:28,968,0,67.66,67.66,251.41,0,100%,5,5,5
10:19:33,898,0,67.21,67.21,222.4,0,100%,6,6,6
10:19:38,850,0,71.13,71.13,224.27,0,100%,7,7,7
10:19:43,1083,0,69.8,69.8,274.11,0,100%,8,8,8
10:19:48,1139,0,70.69,70.69,241.05,0,100%,9,9,9
10:19:53,1056,0,72.05,72.05,221.22,0,100%,10,10,10
10:19:58,760,0,52.87,52.87,272.94,0,100%,11,11,11
