BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
1M,1024,9.6183,112,2018-02-01 17:11:50
1M,1024,5.22199,206,2018-02-01 17:17:06
1M,1024,5.43009,198,2018-02-01 17:06:35
