BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
1M,1024,7.57222,142,2018-02-01 17:11:50
1M,1024,7.62362,141,2018-02-01 17:17:06
1M,1024,7.40422,145,2018-02-01 17:06:35
