BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
512k,1048576,4.13333,260,2018-02-01 17:11:37
512k,1048576,5.80551,185,2018-02-01 17:16:52
512k,1048576,5.25421,204,2018-02-01 17:06:24
