BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
512k,1048576,7.40789,145,2018-02-01 17:11:37
512k,1048576,7.46131,144,2018-02-01 17:16:52
512k,1048576,4.45928,241,2018-02-01 17:06:24
