================================================== stage: s1-init ==================================================
---------------------------------- mission: M5B4F52B4CB, driver: driver1 ----------------------------------
2017-11-13 10:40:03,613 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects7
2017-11-13 10:40:03,833 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects216
2017-11-13 10:40:04,861 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects272
2017-11-13 10:40:05,415 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects289
2017-11-13 10:40:06,299 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects140
2017-11-13 10:40:06,995 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects198
2017-11-13 10:40:07,167 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects103
2017-11-13 10:40:09,878 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects84
2017-11-13 10:40:10,049 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects179
2017-11-13 10:40:10,556 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects66
2017-11-13 10:40:10,599 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects160
2017-11-13 10:40:12,373 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects46
2017-11-13 10:40:15,494 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects273
2017-11-13 10:40:17,504 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects255
2017-11-13 10:40:17,634 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects27
2017-11-13 10:40:18,621 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects8
2017-11-13 10:40:19,477 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects236
2017-11-13 10:40:19,628 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects217
2017-11-13 10:40:22,449 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects199
2017-11-13 10:40:23,344 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects67
2017-11-13 10:40:23,437 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects141
2017-11-13 10:40:24,438 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects180
2017-11-13 10:40:24,445 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects122
2017-11-13 10:40:24,813 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects290
2017-11-13 10:40:24,908 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects104
