Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-13 10:12:15,booting @ 2017-11-13 10:38:06,submitting @ 2017-11-13 10:38:06,authing @ 2017-11-13 10:38:06,launching @ 2017-11-13 10:38:07,running @ 2017-11-13 10:38:07,closing @ 2017-11-13 10:38:12,completed @ 2017-11-13 10:38:12
prepare,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,booting @ 2017-11-13 10:38:14,submitting @ 2017-11-13 10:38:14,authing @ 2017-11-13 10:38:14,launching @ 2017-11-13 10:38:15,running @ 2017-11-13 10:38:15,cancelled @ 2017-11-13 11:25:34
main-1worker,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-4workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-8workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-16workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-32workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-64workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-128workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-256workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
main-512workers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
cleanup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
dispose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cancelled,waiting @ 2017-11-13 10:12:15,cancelled @ 2017-11-13 11:25:34
