BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
64k,1048576,8.99312,119,2018-02-01 17:11:11
64k,1048576,9.02461,119,2018-02-01 17:16:24
64k,1048576,5.46041,197,2018-02-01 17:05:53
