BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
64k,1048576,5.18659,207,2018-02-01 17:11:11
64k,1048576,7.59647,141,2018-02-01 17:16:24
64k,1048576,7.43873,144,2018-02-01 17:05:53
