BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
4M,1024,4.37228,246,2018-02-01 17:12:08
4M,1024,7.5716,142,2018-02-01 17:17:20
4M,1024,7.56383,142,2018-02-01 17:06:48
