BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
4M,1024,4.00826,268,2018-02-01 17:12:08
4M,1024,5.37598,200,2018-02-01 17:17:20
4M,1024,5.25543,204,2018-02-01 17:06:48
