Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,2,16000000,26817,10805.5,0.02,167124.52,100%
read,read,4,32000000,7161.25,2408.25,0.04,281410.22,100%
write,write,3,24000000,28356,13545.67,0.03,211057.66,100%
read,read,3,24000000,8706.67,3933.67,0.03,221345.04,100%
write,write,3,24000000,27434.33,12701.33,0.03,221345.04,100%
read,read,6,48000000,6503.17,2760.83,0.06,487017.93,100%
write,write,2,16000000,29770,14778.5,0.02,162339.31,100%
read,read,2,16000000,7131,3106,0.02,172683.61,100%
write,write,3,24000000,26131,9399.33,0.03,259025.42,100%
read,read,8,64000000,7692.62,2731.62,0.09,713290.61,100%
write,write,1,8000000,28183,10729,0.01,89161.33,100%
read,read,9,72000000,8296.44,3737.56,0.09,715314.69,100%
write,write,1,8000000,25987,7592,0.01,79479.41,100%
read,read,5,40000000,8626.4,3909.4,0.04,353023.2,100%
write,write,3,24000000,23391,8792.33,0.03,211813.92,100%
read,read,6,48000000,7516.5,2708.5,0.06,502275.94,100%
write,write,2,16000000,25233,10763,0.02,167425.31,100%
read,read,1,8000000,6522,2728,0.01,92418.24,100%
write,write,3,24000000,26680.33,10163.67,0.03,277254.72,100%
read,read,3,24000000,8858.67,3469,0.03,223876.42,100%
write,write,3,24000000,26875.33,9815,0.03,223876.42,100%
read,read,7,56000000,8485.71,3724.14,0.08,665660.25,100%
write,write,1,8000000,24727,9632,0.01,95094.32,100%
read,read,5,40000000,7954.8,3283.6,0.07,557732.26,100%
write,write,1,8000000,31944,13992,0.01,111546.45,100%
read,read,5,40000000,8546.6,3824.4,0.05,405412.25,100%
write,write,2,16000000,27966,12693,0.02,162164.9,100%
read,read,3,24000000,7649,3095.33,0.04,320072.55,100%
write,write,2,16000000,26018,9908,0.03,213381.7,100%
read,read,3,24000000,8228.67,3815,0.03,233068.54,100%
write,write,3,24000000,26095.67,10223,0.03,233068.54,100%
read,read,4,32000000,8192,2376.5,0.04,329235.04,100%
write,write,2,16000000,32213.5,16378,0.02,164617.52,100%
read,read,5,40000000,8316,2879.2,0.05,427455.46,100%
write,write,2,16000000,25998.5,11163.5,0.02,170982.19,100%
read,read,6,48000000,6704.83,2596.83,0.06,468887.37,100%
write,write,2,16000000,31070,13818,0.02,156295.79,100%
read,read,2,16000000,6712.5,2976.5,0.02,167161.19,100%
write,write,3,24000000,27430.33,11380.67,0.03,250741.78,100%
read,read,10,80000000,8170.1,3549.7,0.09,729594.16,100%
write,write,1,8000000,27947,10079,0.01,72959.42,100%
read,read,4,32000000,7506.75,2449.75,0.04,289933.86,100%
write,write,3,24000000,26780.67,11363.67,0.03,217450.39,100%
read,read,6,48000000,6384.83,3125,0.06,499225.16,100%
write,write,2,16000000,28920,14667,0.02,166408.39,100%
read,read,4,32000000,8745.5,3746,0.04,341275.09,100%
write,write,2,16000000,29392,13098.5,0.02,170637.54,100%
read,read,5,40000000,7829.2,3323.8,0.04,358638.25,100%
write,write,3,24000000,24128.67,9225,0.03,215182.95,100%
read,read,11,88000000,8201.73,3387.18,0.12,975393.48,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,8,64000000,7369.38,2585.38,0.09,749484.73,100%
write,write,1,8000000,26437,9456,0.01,93685.59,100%
read,read,10,80000000,8025.3,3254.8,0.09,759532.13,100%
