Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
11:36:03,1,1,8000000,8000000,5039,5167,185,692,0.2,0.19,1587616.59,1548287.21,100%,100%,0,0,0
11:36:08,28,11,224000000,88000000,4794.86,6148.64,419.82,1265.27,3.75,1.58,30038489.23,12642192.35,100%,100%,1,1,1
11:36:13,34,11,272000000,88000000,3214.41,5362.18,366,1443.27,6.01,1.77,48099700.23,14139170.29,100%,100%,2,2,2
11:36:18,30,15,240000000,120000000,2697.53,4749.67,466.57,1535.73,6.11,2.91,48864652.5,23306551.26,100%,100%,3,3,3
11:36:23,30,16,240000000,128000000,2859.77,4078.88,594.97,1278.06,6.33,3,50614435.93,23979542.97,100%,100%,4,4,4
11:36:28,41,12,328000000,96000000,3322.17,2899.25,814.29,583.67,9.12,2.49,72938031.82,19934613.14,100%,100%,5,5,5
11:36:33,31,19,248000000,152000000,2733.9,4500.58,382.16,1461.47,5.58,4.02,44675318.8,32133743.17,100%,100%,6,6,6
11:36:38,29,16,232000000,128000000,2973.38,4090.06,565.07,1457,5.06,3.31,40464867.32,26484700.78,100%,100%,7,7,7
11:36:43,28,20,224000000,160000000,2637.71,3943.25,434.82,781.75,5.74,4.13,45882192.33,33027088.96,100%,100%,8,8,8
11:36:48,26,11,208000000,88000000,3470.69,3732.73,510.77,770.45,5.94,2.7,47532270.28,21601417.17,100%,100%,9,9,9
11:36:53,50,17,400000000,136000000,2764.86,4149.88,503.8,1447.18,9.73,3.62,77851890.99,28942350.08,100%,100%,10,10,10
11:36:58,31,9,248000000,72000000,3350.74,3897.33,757.97,1375.44,5.68,1.33,45460951.61,10670072.84,100%,100%,11,11,11
11:37:03,39,14,312000000,112000000,2859.72,4111.93,782.31,1761.79,8.07,2.94,64526152.46,23481597.55,100%,100%,12,12,12
11:37:08,29,13,232000000,104000000,3275.86,4048.69,798.03,2176.85,5.52,2.51,44190964.94,20104112.44,100%,100%,13,13,13
11:37:13,36,8,288000000,64000000,3073.14,4834.5,826.89,2375.62,7.68,1.67,61458720.3,13393606.59,100%,100%,14,14,14
11:37:18,44,13,352000000,104000000,2489.27,4652.08,506.93,2566.77,9.04,2.65,72316256.24,21225235.15,100%,100%,15,15,15
11:37:23,39,9,312000000,72000000,3223.28,5038.56,565.23,2723.78,7.86,1.68,62889714.82,13452405.05,100%,100%,16,16,16
11:37:28,25,15,200000000,120000000,3115.24,3399.87,765.96,724,4.86,2.92,38895964.11,23324121.36,100%,100%,17,17,17
11:37:33,40,19,320000000,152000000,2908.95,3965.89,612.75,1465.53,8.82,4.16,70592124.68,33316082.14,100%,100%,18,18,18
11:37:38,39,9,312000000,72000000,2942.77,3943.89,731.21,2142.11,7.66,1.61,61259642.28,12894505.55,100%,100%,19,19,19
11:37:43,40,10,320000000,80000000,3105.75,4678.9,574.45,1580.6,8.15,1.88,65204488.26,15031062.02,100%,100%,20,20,20
11:37:48,28,18,224000000,144000000,3310.82,3647.06,834.18,1538.11,5.61,3.12,44871015.81,24988608.82,100%,100%,21,21,21
11:37:53,36,9,288000000,72000000,2924.14,3560.67,585.28,1340.89,7.07,1.57,56549419.3,12567083.95,100%,100%,22,22,22
11:37:58,36,19,288000000,152000000,2670.47,4445.79,651.19,1912.21,7.64,3.59,61133409.67,28733321.61,100%,100%,23,23,23
11:38:03,29,16,232000000,128000000,3025.1,4216.75,696.59,1286.69,5.47,3.03,43770687.25,24274979.87,100%,100%,24,24,24
11:38:08,37,14,296000000,112000000,2922.19,4190.21,444.54,742.21,7.98,2.48,63831399.33,19835011.1,100%,100%,25,25,25
11:38:13,29,12,232000000,96000000,3071.62,5199.25,484.28,2319.75,5.66,2.5,45298616.28,19960842.92,100%,100%,26,26,26
11:38:18,34,16,272000000,128000000,2894.38,4060.12,771.71,1573.75,6.76,2.96,54089652.7,23656562.56,100%,100%,27,27,27
11:38:23,9,13,72000000,104000000,2215.11,3020.15,230.56,612.46,3.19,4.3,25530618.56,34374298.02,100%,100%,28,28,28
