Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,880,0,53.62,53.62,18.65,0,100%
cleanup,delete,880,0,53.45,53.45,18.71,0,100%
cleanup,delete,880,0,53.29,53.29,18.77,0,100%
cleanup,delete,880,0,53.97,53.97,18.53,0,100%
cleanup,delete,880,0,52.8,52.8,18.94,0,100%
cleanup,delete,880,0,50.68,50.68,19.73,0,100%
cleanup,delete,880,0,41.01,41.01,24.38,0,100%
cleanup,delete,880,0,44.34,44.34,22.55,0,100%
cleanup,delete,870,0,45.3,45.3,22.07,0,100%
cleanup,delete,870,0,44.14,44.14,22.65,0,100%
cleanup,delete,870,0,45.14,45.14,22.15,0,100%
cleanup,delete,870,0,45.56,45.56,21.95,0,100%
cleanup,delete,870,0,46.37,46.37,21.57,0,100%
cleanup,delete,870,0,48.7,48.7,20.53,0,100%
cleanup,delete,870,0,43.04,43.04,23.23,0,100%
cleanup,delete,870,0,43.56,43.56,22.95,0,100%
