Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w36-s10-main-256workers-2,write,4743,303552000,256,1630.63,1628.07,2030,2840,3530,4010,4930,6420,80.47,5149980.88,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1001-1100) sizes=c(64)KB
w36-s11-main-512workers-1,read,9397,601408000,512,1543.6,1540.28,1770,2810,3430,3970,5270,6440,162.5,10399982.04,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w36-s11-main-512workers-2,write,3835,245440000,512,3939.1,3936.08,4690,6430,7550,8610,10390,13660,66.35,4246402.23,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(1101-1200) sizes=c(64)KB
w36-s12-cleanup-1,cleanup-delete,24000,0,16,69.3,69.3,80,90,100,110,130,190,231.08,0,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) deleteContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-1200)
w36-s13-dispose-1,dispose-delete,0,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w37-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w37-s2-prepare-1,prepare-write,6000,768000000,16,106.87,102.28,120,130,140,150,180,340,149.63,19152399.91,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(128)KB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(128)KB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(128)KB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(128)KB
w37-s3-main-1worker-1,read,3109,397952000,1,11.29,8.01,20,20,20,20,20,30,51.82,6632533.33,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w37-s3-main-1worker-2,write,1373,175744000,1,17.99,13.81,20,20,30,30,30,80,22.88,2929066.67,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(128)KB
w37-s4-main-4workers-1,read,6451,825728000,4,22.36,17.65,30,30,30,40,60,280,107.56,13768090.9,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
