BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
128k,1048576,4.871,220,2018-02-01 17:11:26
128k,1048576,4.8697,220,2018-02-01 17:16:42
128k,1048576,7.62101,141,2018-02-01 17:06:07
