BlockSize(K),Bytes,Time(s),TransferRate(MB/s),TimeStamp
4,4096,0.000453607,9.0,2017-11-07 16:02:26
64,65536,0.000395404,166,2017-11-07 16:02:29
128,131072,0.000474486,276,2017-11-07 16:02:29
512,524288,0.00134398,390,2017-11-07 16:02:30
1024,1048576,0.0112236,93.4,2017-11-07 16:02:30
4096,4194304,0.014273,294,2017-11-07 16:02:30
65536,67108864,0.0530618,1331.2,2017-11-07 16:02:30
131072,134217728,0.116212,1228.8,2017-11-07 16:02:30
524288,536870912,0.473055,1126.4,2017-11-07 16:02:30
1232896,1073741824,4.68889,229,2017-11-07 16:02:32
4,4096,0.000325596,12.6,2017-11-07 16:02:44
64,65536,0.000387451,169,2017-11-07 16:02:44
128,131072,0.000489425,268,2017-11-07 16:02:44
512,524288,0.000913764,574,2017-11-07 16:02:44
1024,1048576,0.00134169,782,2017-11-07 16:02:44
4096,4194304,0.00352017,1228.8,2017-11-07 16:02:44
65536,67108864,0.0627458,1126.4,2017-11-07 16:02:44
131072,134217728,0.114269,1228.8,2017-11-07 16:02:45
524288,536870912,0.480302,1126.4,2017-11-07 16:02:45
1232896,1073741824,4.80121,224,2017-11-07 16:02:49
4,4096,0.000251894,16.3,2017-11-07 16:03:01
64,65536,0.000311951,210,2017-11-07 16:03:01
128,131072,0.00039679,330,2017-11-07 16:03:01
512,524288,0.00103122,508,2017-11-07 16:03:01
1024,1048576,0.00145546,720,2017-11-07 16:03:01
4096,4194304,0.00410122,1024.0,2017-11-07 16:03:01
65536,67108864,0.0568537,1228.8,2017-11-07 16:03:01
131072,134217728,0.117685,1126.4,2017-11-07 16:03:02
524288,536870912,0.442217,1228.8,2017-11-07 16:03:02
1232896,1073741824,5.02524,214,2017-11-07 16:03:06
4,4096,0.000418924,9.8,2017-11-07 16:03:18
64,65536,0.000447032,147,2017-11-07 16:03:18
128,131072,0.000622066,211,2017-11-07 16:03:18
512,524288,0.00103541,506,2017-11-07 16:03:18
1024,1048576,0.00211576,496,2017-11-07 16:03:18
4096,4194304,0.00953852,440,2017-11-07 16:03:18
65536,67108864,0.0559165,1228.8,2017-11-07 16:03:18
131072,134217728,0.106657,1331.2,2017-11-07 16:03:19
524288,536870912,0.455737,1228.8,2017-11-07 16:03:19
1232896,1073741824,4.83112,222,2017-11-07 16:03:23
4,4096,0.0002899,14.1,2017-11-07 16:03:35
64,65536,0.000569729,115,2017-11-07 16:03:35
128,131072,0.000606424,216,2017-11-07 16:03:35
512,524288,0.00120802,434,2017-11-07 16:03:36
1024,1048576,0.00547729,191,2017-11-07 16:03:36
4096,4194304,0.00422205,993,2017-11-07 16:03:36
65536,67108864,0.0618239,1126.4,2017-11-07 16:03:36
131072,134217728,0.124017,1126.4,2017-11-07 16:03:36
524288,536870912,0.457675,1228.8,2017-11-07 16:03:36
1232896,1073741824,4.41913,243,2017-11-07 16:03:40
4,4096,0.000441372,9.3,2017-11-07 16:03:52
64,65536,0.000891652,73.5,2017-11-07 16:03:52
128,131072,0.000584036,224,2017-11-07 16:03:52
512,524288,0.00103994,504,2017-11-07 16:03:52
1024,1048576,0.00212842,493,2017-11-07 16:03:52
4096,4194304,0.00749554,560,2017-11-07 16:03:52
65536,67108864,0.0579927,1228.8,2017-11-07 16:03:52
131072,134217728,0.112395,1228.8,2017-11-07 16:03:52
524288,536870912,0.458081,1228.8,2017-11-07 16:03:53
1232896,1073741824,4.6377,232,2017-11-07 16:03:57
4,4096,0.000436068,9.4,2017-11-07 16:04:09
64,65536,0.000482203,136,2017-11-07 16:04:09
128,131072,0.000701856,187,2017-11-07 16:04:09
512,524288,0.00122904,427,2017-11-07 16:04:09
1024,1048576,0.001585,662,2017-11-07 16:04:09
4096,4194304,0.0040429,1024.0,2017-11-07 16:04:09
65536,67108864,0.0587302,1126.4,2017-11-07 16:04:09
131072,134217728,0.11825,1126.4,2017-11-07 16:04:10
524288,536870912,0.392526,1433.6,2017-11-07 16:04:10
1232896,1073741824,4.67054,230,2017-11-07 16:04:14
4,4096,0.000304461,13.5,2017-11-07 16:04:26
64,65536,0.000539084,122,2017-11-07 16:04:26
128,131072,0.000636591,206,2017-11-07 16:04:26
512,524288,0.000904483,580,2017-11-07 16:04:26
1024,1048576,0.0014608,718,2017-11-07 16:04:26
4096,4194304,0.00368933,1126.4,2017-11-07 16:04:26
65536,67108864,0.0622053,1126.4,2017-11-07 16:04:26
131072,134217728,0.119477,1126.4,2017-11-07 16:04:26
524288,536870912,0.447098,1228.8,2017-11-07 16:04:27
1232896,1073741824,4.75068,226,2017-11-07 16:04:31
4,4096,0.000298651,13.7,2017-11-07 16:04:43
64,65536,0.000421396,156,2017-11-07 16:04:43
128,131072,0.00055919,234,2017-11-07 16:04:43
512,524288,0.00107258,489,2017-11-07 16:04:43
1024,1048576,0.00156801,669,2017-11-07 16:04:43
4096,4194304,0.0043584,962,2017-11-07 16:04:43
65536,67108864,0.0612569,1126.4,2017-11-07 16:04:43
131072,134217728,0.113545,1228.8,2017-11-07 16:04:43
524288,536870912,0.45966,1228.8,2017-11-07 16:04:43
1232896,1073741824,8.90842,121,2017-11-07 16:04:48
4,4096,0.0002876,14.2,2017-11-07 16:05:04
64,65536,0.000368652,178,2017-11-07 16:05:04
128,131072,0.000428378,306,2017-11-07 16:05:04
512,524288,0.000994776,527,2017-11-07 16:05:04
1024,1048576,0.00154465,679,2017-11-07 16:05:04
4096,4194304,0.00404058,1024.0,2017-11-07 16:05:04
65536,67108864,0.0527405,1331.2,2017-11-07 16:05:04
131072,134217728,0.115348,1228.8,2017-11-07 16:05:04
524288,536870912,0.443785,1228.8,2017-11-07 16:05:04
1232896,1073741824,4.64629,231,2017-11-07 16:05:06
