Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,102,408000,262.05,260.93,1.72,6887.24,100%
write,write,48,192000,677.19,677.19,0.81,3241.05,100%
read,read,84,336000,285.6,284.68,1.44,5770.92,100%
write,write,49,196000,698.51,698.51,0.84,3366.37,100%
read,read,97,388000,269.35,268.54,1.64,6551.51,100%
write,write,43,172000,769.51,769.51,0.73,2904.28,100%
read,read,101,404000,291.17,290.22,1.7,6811.67,100%
write,write,39,156000,766.31,766.31,0.66,2630.25,100%
read,read,102,408000,302.95,302.25,1.71,6828.11,100%
write,write,42,168000,686.83,686.83,0.7,2811.57,100%
read,read,99,396000,284.06,283.12,1.65,6600.88,100%
write,write,41,164000,777.24,777.24,0.68,2733.7,100%
read,read,109,436000,295.44,294.48,1.83,7310.41,100%
write,write,41,164000,668.98,668.98,0.69,2749.79,100%
read,read,112,448000,275.72,274.61,1.87,7484,100%
write,write,40,160000,724.35,724.35,0.67,2672.86,100%
read,read,103,412000,275.71,274.89,1.72,6882.84,100%
write,write,44,176000,714.89,714.89,0.74,2940.24,100%
read,read,100,400000,318.66,317.86,1.68,6710.51,100%
write,write,41,164000,676.59,676.59,0.69,2751.31,100%
read,read,109,436000,280.64,279.8,1.82,7271.39,100%
write,write,42,168000,699.17,699.17,0.7,2801.82,100%
read,read,103,412000,287.14,286.49,1.73,6933.11,100%
write,write,40,160000,746.1,746.1,0.67,2692.47,100%
read,read,118,472000,253.11,252.38,1.97,7879.41,100%
write,write,42,168000,715.12,715.12,0.7,2804.53,100%
read,read,103,412000,258.58,258.25,1.74,6975.96,100%
write,write,50,200000,648.34,648.34,0.85,3386.39,100%
read,read,106,424000,290.8,289.86,1.77,7080.59,100%
write,write,44,176000,660.3,660.3,0.73,2939.11,100%
read,read,99,396000,249.07,248.45,1.66,6631.17,100%
write,write,46,184000,762.11,762.11,0.77,3081.15,100%
read,read,91,364000,251.73,250.76,1.53,6138.38,100%
write,write,47,188000,774.19,774.19,0.79,3170.37,100%
read,read,83,332000,290.94,290.08,1.41,5659.64,100%
