Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,13,104000000,4194.92,553.85,0.22,1734518.59,100%
write,write,1,8000000,5425,339,0.02,133424.51,100%
read,read,9,72000000,2567.89,123.56,0.16,1250086.81,100%
write,write,6,48000000,5747.5,1237.17,0.1,833391.21,100%
read,read,10,80000000,3575.9,489,0.17,1371036.85,100%
write,write,4,32000000,5647.5,1471.25,0.07,548414.74,100%
read,read,10,80000000,3815,380.4,0.17,1343160.79,100%
write,write,4,32000000,5352.25,1455.75,0.07,537264.32,100%
read,read,11,88000000,3727,456.55,0.19,1549950.68,100%
write,write,3,24000000,5259.67,2295.33,0.05,422713.82,100%
read,read,10,80000000,3560.8,301,0.18,1472672.72,100%
write,write,5,40000000,3742.8,736.8,0.09,736336.36,100%
read,read,9,72000000,3189.44,274,0.15,1207041.07,100%
write,write,6,48000000,5157.5,1373.83,0.1,804694.05,100%
read,read,10,80000000,4206.3,759.1,0.17,1392806.16,100%
write,write,4,32000000,3843.5,765,0.07,557122.46,100%
read,read,10,80000000,3474.9,756.1,0.18,1442975.42,100%
write,write,4,32000000,5173,454.5,0.07,577190.17,100%
read,read,12,96000000,3107.25,224.58,0.21,1660727.26,100%
write,write,4,32000000,5129.75,1180.5,0.07,553575.75,100%
read,read,10,80000000,3942.8,803.6,0.17,1340842.05,100%
write,write,3,24000000,6745,1468.33,0.05,402252.61,100%
read,read,8,64000000,2830.38,413.38,0.14,1124128.36,100%
write,write,8,64000000,4286.25,913.5,0.14,1124128.36,100%
read,read,8,64000000,2828.62,453.5,0.15,1161355.88,100%
write,write,7,56000000,4639.71,768.14,0.13,1016186.4,100%
read,read,12,96000000,3339.25,569.08,0.2,1636772.83,100%
write,write,4,32000000,4645.25,1204,0.07,545590.94,100%
read,read,13,104000000,3581.77,374.08,0.22,1769249.09,100%
write,write,3,24000000,4073,584.67,0.05,408288.25,100%
read,read,9,72000000,4152.11,610.78,0.17,1328045.74,100%
write,write,3,24000000,5615.33,1054.33,0.06,442681.91,100%
read,read,12,96000000,3947.5,231.42,0.21,1648549.79,100%
write,write,2,16000000,5431,1008,0.03,274758.3,100%
read,read,8,64000000,3987.25,655.75,0.14,1081848.61,100%
write,write,5,40000000,5451.8,898.2,0.08,676155.38,100%
read,read,10,80000000,3135.1,361.2,0.17,1369136.25,100%
write,write,5,40000000,5416,1480.8,0.09,684568.12,100%
read,read,11,88000000,3599.09,563.45,0.19,1525447.23,100%
write,write,4,32000000,4524.5,967.25,0.07,554708.08,100%
read,read,10,80000000,3995.4,385.2,0.17,1382432.74,100%
write,write,3,24000000,5971.33,1175.67,0.05,414729.82,100%
read,read,8,64000000,3942.38,648,0.14,1092056.99,100%
write,write,5,40000000,5413,1587.8,0.09,682535.62,100%
read,read,9,72000000,4023.56,302.44,0.15,1202866.83,100%
write,write,4,32000000,5911,1487,0.07,534607.48,100%
read,read,8,64000000,4046.5,559,0.13,1067894.75,100%
write,write,6,48000000,4593.17,1247.17,0.1,800921.06,100%
read,read,5,40000000,3528.6,422.8,0.08,668717.4,100%
write,write,8,64000000,5271.5,1172.25,0.13,1069947.84,100%
read,read,9,72000000,3349.78,385.22,0.15,1217470.7,100%
write,write,5,40000000,5797.8,1150.6,0.08,676372.61,100%
read,read,12,96000000,3610.42,574.83,0.2,1615046.85,100%
write,write,3,24000000,5371.33,750.67,0.05,403761.71,100%
read,read,9,72000000,3888,252.11,0.15,1226638.5,100%
write,write,6,48000000,3950.67,1295.33,0.1,817759,100%
read,read,16,128000000,3431.31,377.06,0.28,2230004.01,100%
write,write,1,8000000,2492,97,0.02,139375.25,100%
read,read,10,80000000,4003.3,758.4,0.18,1402450.78,100%
write,write,3,24000000,5670,526.67,0.05,420735.23,100%
read,read,9,72000000,4645.89,841.56,0.16,1242707.72,100%
write,write,4,32000000,4030.75,1425,0.07,552314.54,100%
read,read,10,80000000,4374.8,851.7,0.17,1356576,100%
write,write,3,24000000,5074,1212,0.05,406972.8,100%
