Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,2,32000000,15183,3681,0.07,1053810.18,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,32000000,21115,6304,0.02,298936.91,100%
write,write,1,16000000,64816,12764,0.01,149468.45,100%
read,read,2,32000000,17479.5,3933,0.02,319396.34,100%
write,write,1,16000000,65230,13340,0.01,159698.17,100%
read,read,5,80000000,17596.8,3970.6,0.06,909256.23,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,7,112000000,15760.71,3758.29,0.06,1015182.42,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,0,0,N/A,N/A,0,0,N/A
write,write,0,0,N/A,N/A,0,0,N/A
read,read,3,48000000,15786,3746.67,0.06,1013556.32,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,16000000,15691,4942,0.01,150036.1,100%
write,write,1,16000000,90950,30090,0.01,150036.1,100%
read,read,4,64000000,16500.75,6312,0.06,969652.89,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,4,64000000,15761.25,5520.25,0.06,1015147.91,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,32000000,21196.5,7992,0.02,297804.62,100%
write,write,1,16000000,65060,17803,0.01,148902.31,100%
read,read,2,32000000,18903,4198.5,0.02,302975.79,100%
write,write,1,16000000,67813,10458,0.01,151487.9,100%
read,read,2,32000000,20000,8187.5,0.02,308871.36,100%
write,write,1,16000000,63603,12760,0.01,154435.68,100%
read,read,2,32000000,20521,5972.5,0.02,301411.93,100%
write,write,1,16000000,65125,19296,0.01,150705.96,100%
read,read,6,96000000,15793.67,4325.67,0.06,1013064.31,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,32000000,17305,4001,0.02,319900.83,100%
write,write,1,16000000,65421,11832,0.01,159950.42,100%
read,read,3,48000000,14838,3987,0.03,431604.22,100%
write,write,1,16000000,66699,21476,0.01,143868.07,100%
read,read,2,32000000,18101.5,3040,0.02,309387.99,100%
write,write,1,16000000,67227,18124,0.01,154694,100%
read,read,1,16000000,14398,4526,0.01,168885.04,100%
write,write,1,16000000,80341,22000,0.01,168885.04,100%
read,read,2,32000000,17405.5,4081.5,0.02,288631.53,100%
write,write,1,16000000,76057,13629,0.01,144315.76,100%
read,read,0,0,N/A,N/A,0,0,N/A
write,write,1,16000000,78621,18834,0.01,203507.97,100%
read,read,1,16000000,17088,2854,0.06,936329.59,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,2,32000000,16934,4282.5,0.02,326024.94,100%
write,write,1,16000000,64283,16324,0.01,163012.47,100%
read,read,4,64000000,16479.25,3641.25,0.06,970903.24,100%
write,write,0,0,N/A,N/A,0,0,N/A
read,read,1,16000000,16396,4425,0.01,173775.16,100%
write,write,1,16000000,75677,15874,0.01,173775.16,100%
read,read,2,32000000,19431.5,6347.5,0.02,307547.41,100%
write,write,1,16000000,65186,16757,0.01,153773.7,100%
