Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 11:49:57,submitting @ 2017-11-17 11:49:57,authing @ 2017-11-17 11:49:57,launching @ 2017-11-17 11:49:57,running @ 2017-11-17 11:49:57,closing @ 2017-11-17 11:50:02,completed @ 2017-11-17 11:50:02
s2-prepare,prepare-write,prepare,5000,80000000000,4202.48,544.05,4450,5420,6020,6300,7100,8890,3.81,60917726.17,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 11:50:05,submitting @ 2017-11-17 11:50:05,authing @ 2017-11-17 11:50:05,launching @ 2017-11-17 11:50:05,running @ 2017-11-17 11:50:05,closing @ 2017-11-17 12:12:16,completed @ 2017-11-17 12:12:16
s3-main-1worker,read,read,147,2352000000,571.96,16.09,590,650,690,710,760,930,1.23,19654541.35,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:12:18,submitting @ 2017-11-17 12:12:18,authing @ 2017-11-17 12:12:18,launching @ 2017-11-17 12:12:18,running @ 2017-11-17 12:12:18,closing @ 2017-11-17 12:14:43,completed @ 2017-11-17 12:14:43
s3-main-1worker,write,write,67,1072000000,531.01,25.94,540,550,570,590,620,640,0.56,8958192.32,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:12:18,submitting @ 2017-11-17 12:12:18,authing @ 2017-11-17 12:12:18,launching @ 2017-11-17 12:12:18,running @ 2017-11-17 12:12:18,closing @ 2017-11-17 12:14:43,completed @ 2017-11-17 12:14:43
s4-main-4workers,read,read,358,5728000000,935.23,68.53,970,1100,1240,1400,1730,2000,3.01,48198866.14,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:14:46,submitting @ 2017-11-17 12:14:46,authing @ 2017-11-17 12:14:46,launching @ 2017-11-17 12:14:46,running @ 2017-11-17 12:14:46,closing @ 2017-11-17 12:17:11,completed @ 2017-11-17 12:17:11
s4-main-4workers,write,write,139,2224000000,1012.38,121.48,1040,1290,1480,1560,1610,1800,1.17,18695782.81,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:14:46,submitting @ 2017-11-17 12:14:46,authing @ 2017-11-17 12:14:46,launching @ 2017-11-17 12:14:46,running @ 2017-11-17 12:14:46,closing @ 2017-11-17 12:17:11,completed @ 2017-11-17 12:17:11
s5-main-8workers,read,read,344,5504000000,1550.45,115.74,1600,1940,2290,2520,2860,3070,2.93,46801024.39,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:17:14,submitting @ 2017-11-17 12:17:14,authing @ 2017-11-17 12:17:14,launching @ 2017-11-17 12:17:14,running @ 2017-11-17 12:17:14,closing @ 2017-11-17 12:19:39,completed @ 2017-11-17 12:19:39
s5-main-8workers,write,write,171,2736000000,2383.87,362.55,2470,3110,3340,3550,3960,4770,1.45,23249842.64,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:17:14,submitting @ 2017-11-17 12:17:14,authing @ 2017-11-17 12:17:14,launching @ 2017-11-17 12:17:14,running @ 2017-11-17 12:17:14,closing @ 2017-11-17 12:19:39,completed @ 2017-11-17 12:19:39
s6-main-16workers,read,read,373,5968000000,2945.87,315.99,3000,3770,4340,4730,5670,6580,3.2,51275980.62,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:19:42,submitting @ 2017-11-17 12:19:42,authing @ 2017-11-17 12:19:42,launching @ 2017-11-17 12:19:42,running @ 2017-11-17 12:19:42,closing @ 2017-11-17 12:22:07,completed @ 2017-11-17 12:22:07
s6-main-16workers,write,write,166,2656000000,4596.25,878.05,4770,5810,6400,7320,8960,10070,1.43,22839270.23,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:19:42,submitting @ 2017-11-17 12:19:42,authing @ 2017-11-17 12:19:42,launching @ 2017-11-17 12:19:42,running @ 2017-11-17 12:19:42,closing @ 2017-11-17 12:22:07,completed @ 2017-11-17 12:22:07
s7-main-32workers,read,read,403,6448000000,4920.84,832.59,5150,6560,8210,8960,10420,12780,3.6,57607561.18,100%,completed,waiting @ 2017-11-17 11:37:20,booting @ 2017-11-17 12:22:10,submitting @ 2017-11-17 12:22:10,authing @ 2017-11-17 12:22:10,launching @ 2017-11-17 12:22:10,running @ 2017-11-17 12:22:10,closing @ 2017-11-17 12:24:36,completed @ 2017-11-17 12:24:36
