Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,147,2352000000,571.96,16.09,1.23,19654541.35,100%
write,write,67,1072000000,531.01,25.94,0.56,8958192.32,100%
