Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
10:20:22,20,80000000,765.85,131.4,3.92,15671325.86,100%,0,0,0
10:20:27,68,272000000,1091.03,171.74,11.9,47588018.23,100%,1,1,1
10:20:32,89,356000000,989.65,135.52,19.35,77390783.75,100%,2,2,2
10:20:37,88,352000000,1017.58,183.58,15.64,62548275.07,100%,3,3,3
10:20:42,88,352000000,1016.61,202.09,15.75,63016034.75,100%,4,4,4
10:20:47,82,328000000,1054.52,156.01,14.4,57584175.84,100%,5,5,5
10:20:52,87,348000000,960.38,181.93,16.92,67666985.1,100%,6,6,6
10:20:57,70,280000000,1092.99,194.74,13.59,54358895.24,100%,7,7,7
10:21:02,78,312000000,965.36,190.03,15.93,63732873.45,100%,8,8,8
10:21:07,75,300000000,1053.44,272.51,16.73,66905405.49,100%,9,9,9
10:21:12,71,284000000,1004.06,179.14,14.74,58962458.31,100%,10,10,10
10:21:17,88,352000000,1005.01,253.42,18.93,75738032.3,100%,11,11,11
10:21:22,73,292000000,1018.68,301.53,12.72,50863227.68,100%,12,12,12
10:21:27,77,308000000,1009.04,256.57,16.7,66795952.77,100%,13,13,13
10:21:32,66,264000000,1424.86,564.09,12.92,51670002.88,100%,14,14,14
10:21:37,47,188000000,1523.64,637.4,7.87,31465274.8,100%,15,15,15
10:21:42,63,252000000,1388.16,536.25,13.46,53841874.58,100%,16,16,16
10:21:47,85,340000000,1014.22,287.76,16.52,66078198.78,100%,17,17,17
10:21:52,68,272000000,1034.65,260.57,12.57,50275469.86,100%,18,18,18
10:21:57,81,324000000,1025.16,284.3,17.07,68286922.38,100%,19,19,19
10:22:02,80,320000000,1054.54,286.21,15.11,60457560.36,100%,20,20,20
10:22:07,71,284000000,988.59,291.7,14.27,57077699.54,100%,21,21,21
10:22:12,83,332000000,1052.63,285.89,17.2,68807478.34,100%,22,22,22
10:22:17,75,300000000,1041.04,318.72,14.51,58026364.13,100%,23,23,23
10:22:22,87,348000000,942.85,296.41,18.07,72262307.58,100%,24,24,24
10:22:27,82,328000000,1009.32,325.66,15.6,62382083.97,100%,25,25,25
10:22:32,70,280000000,1089.81,337.09,13.83,55314465.58,100%,26,26,26
10:22:37,61,244000000,1243.97,567.31,12.45,49798343.28,100%,27,27,27
10:22:42,51,204000000,1532.55,683.73,10.41,41638872.06,100%,28,28,28
10:22:47,54,216000000,1553.65,715.41,10.93,43712982.48,100%,29,29,29
10:22:52,48,192000000,1546.62,657.19,9.09,36371266.87,100%,30,30,30
10:22:57,55,220000000,1545.75,723.67,11.65,46609164.2,100%,31,31,31
10:23:02,53,212000000,1294.09,533.28,10.81,43239243.9,100%,32,32,32
10:23:07,90,360000000,1016.09,322.08,19.44,77741969.56,100%,33,33,33
10:23:12,77,308000000,1018.49,294.53,13.83,55300692.91,100%,34,34,34
10:23:17,75,300000000,1022.83,318.09,15.4,61587746.83,100%,35,35,35
10:23:22,86,344000000,1034.37,329.83,16.2,64796245.92,100%,36,36,36
10:23:27,79,316000000,1075.3,307.08,14.96,59834327.79,100%,37,37,37
10:23:32,75,300000000,975.93,286.91,14.34,57372145.79,100%,38,38,38
10:23:37,80,320000000,1045.94,329.91,17.49,69978489.96,100%,39,39,39
10:23:42,75,300000000,1031.99,328.89,14.8,59196905.83,100%,40,40,40
10:23:47,74,296000000,1007.68,347.39,15.88,63508411.99,100%,41,41,41
10:23:52,71,284000000,1027.49,345.45,14.47,57875291.49,100%,42,42,42
10:23:57,73,292000000,1068.74,378.6,14.95,59812124.52,100%,43,43,43
10:24:02,82,328000000,991.51,325.82,17.34,69378670.8,100%,44,44,44
10:24:07,91,364000000,1042.35,387.87,17.5,70016748.6,100%,45,45,45
10:24:12,67,268000000,1067.94,380.04,12.27,49094434.53,100%,46,46,46
10:24:17,72,288000000,1059.26,329.15,14.73,58905879.24,100%,47,47,47
10:24:22,89,356000000,987.21,365.57,19.03,76119330.54,100%,48,48,48
10:24:27,68,272000000,1070.38,376.19,12.4,49607722.76,100%,49,49,49
10:24:32,84,336000000,1014.07,347.57,17.37,69461584.76,100%,50,50,50
10:24:37,75,300000000,1044.01,338.19,14.37,57497164.7,100%,51,51,51
10:24:42,86,344000000,1003.38,327.13,17.25,69019384.38,100%,52,52,52
10:24:47,72,288000000,1027.32,414.54,14.17,56662319.1,100%,53,53,53
10:24:52,82,328000000,1063.51,371.27,16.46,65828318.56,100%,54,54,54
10:24:57,77,308000000,953,311.03,15.11,60443314.2,100%,55,55,55
10:25:02,76,304000000,1033.08,334,16.39,65571656.21,100%,56,56,56
10:25:07,76,304000000,1084.42,452.32,14.95,59788726.3,100%,57,57,57
10:25:12,76,304000000,1019.54,419.88,15.83,63323873.68,100%,58,58,58
10:25:17,76,304000000,1037.93,294.38,14.81,59226425.08,100%,59,59,59
10:25:22,77,308000000,1025.58,380.79,15.49,61965571.26,100%,60,60,60
10:25:27,83,332000000,1035.24,342.01,16.3,65205817.4,100%,61,61,61
10:25:32,87,348000000,979.43,402.55,18.2,72808503.53,100%,62,62,62
10:25:37,74,296000000,1033.7,362.19,13.61,54446371.7,100%,63,63,63
10:25:42,67,268000000,960.66,395.69,14.85,59381786.83,100%,64,64,64
10:25:47,65,260000000,662.71,242.03,18.13,72510263.83,100%,65,65,65
10:25:52,47,188000000,306.85,81.4,17.51,70022584.52,100%,66,66,66
