Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,46,184000000,1855.87,459.52,0.39,1544168.25,100%
write,write,17,68000000,1987.47,903.76,0.14,570670.87,100%
read,read,56,224000000,1582.12,342.39,0.47,1898160.31,100%
write,write,15,60000000,1960.27,755.27,0.13,508435.8,100%
read,read,51,204000000,1650.12,350.51,0.43,1706584.57,100%
write,write,17,68000000,2080.88,1208.35,0.14,568861.52,100%
read,read,50,200000000,1652.6,340.66,0.42,1697490.26,100%
write,write,16,64000000,2199.12,1177.81,0.14,543196.88,100%
read,read,44,176000000,1534.41,306.05,0.37,1476720.67,100%
write,write,23,92000000,2246.35,1368.83,0.19,771922.17,100%
read,read,40,160000000,1770.18,496.02,0.34,1367497.99,100%
write,write,21,84000000,2199.57,1244.62,0.18,717936.45,100%
read,read,53,212000000,1680.09,427.62,0.45,1790873.3,100%
write,write,19,76000000,1543.42,456.53,0.16,642011.18,100%
read,read,55,220000000,1405.84,260.44,0.46,1853911.75,100%
write,write,24,96000000,1722.58,703.75,0.2,808979.67,100%
read,read,42,168000000,1785.9,403.05,0.35,1418583.44,100%
write,write,20,80000000,2170.65,1004.5,0.17,675515.93,100%
read,read,42,168000000,1703.24,440.19,0.37,1482030.38,100%
write,write,22,88000000,1900.82,843.18,0.19,776301.63,100%
read,read,53,212000000,1689.75,331.11,0.44,1773450.11,100%
write,write,16,64000000,1873.44,759.12,0.13,535381.17,100%
read,read,56,224000000,1530,414.55,0.47,1899931.3,100%
write,write,16,64000000,2013.56,927.19,0.14,542837.51,100%
read,read,51,204000000,1606.47,404.65,0.43,1721722.4,100%
write,write,23,92000000,1589.04,588.35,0.19,776463.04,100%
read,read,43,172000000,1466.63,349.4,0.37,1474521.64,100%
write,write,23,92000000,2329.43,1138.52,0.2,788697.62,100%
read,read,50,200000000,1528.88,297.32,0.42,1683161.65,100%
write,write,21,84000000,2018.05,883.67,0.18,706927.89,100%
read,read,47,188000000,1539.34,314.81,0.41,1621878.1,100%
write,write,19,76000000,2292.47,1211.95,0.16,655652.85,100%
read,read,50,200000000,1730.26,381.72,0.42,1675617.26,100%
write,write,20,80000000,1642.2,499.7,0.17,670246.9,100%
read,read,52,208000000,1555.87,300.52,0.44,1754297.18,100%
write,write,18,72000000,2092.06,988.67,0.15,607256.72,100%
read,read,51,204000000,1494.9,288.18,0.43,1716492.63,100%
write,write,25,100000000,1704.08,787.08,0.21,841417.96,100%
read,read,55,220000000,1565.82,286.8,0.47,1861551.35,100%
write,write,20,80000000,1602.3,539.8,0.17,676927.76,100%
read,read,61,244000000,1498.72,279.2,0.51,2046739.48,100%
write,write,15,60000000,1852.6,795,0.13,503296.59,100%
read,read,49,196000000,1556.12,407.53,0.41,1656874.76,100%
write,write,19,76000000,2212.74,935.32,0.16,642461.64,100%
read,read,49,196000000,1774.69,509.94,0.41,1656902.78,100%
write,write,17,68000000,1842.41,767.76,0.14,574843.82,100%
read,read,52,208000000,1415.75,242.37,0.44,1764850.62,100%
write,write,24,96000000,1843.12,859.46,0.2,814546.44,100%
read,read,49,196000000,1667.31,410.84,0.41,1644640.23,100%
write,write,15,60000000,2498.27,1492.07,0.13,503461.3,100%
read,read,53,212000000,1631.7,400.6,0.45,1807192.97,100%
write,write,17,68000000,1813.18,747.35,0.14,579665.67,100%
read,read,51,204000000,1532.96,259.59,0.44,1742115.65,100%
write,write,24,96000000,1621.5,712.62,0.2,819819.13,100%
read,read,44,176000000,1715.2,458.75,0.37,1499007.76,100%
write,write,21,84000000,1997.1,805,0.18,715435.52,100%
read,read,46,184000000,1612.78,370.33,0.39,1555144.23,100%
write,write,24,96000000,1838.33,1014.12,0.2,811379.6,100%
read,read,48,192000000,1547.88,331.73,0.4,1614245.72,100%
write,write,24,96000000,1859.54,741.5,0.2,807122.86,100%
read,read,43,172000000,1489.42,342.6,0.37,1490545.44,100%
write,write,23,92000000,2232.43,1087.57,0.2,797268.49,100%
read,read,48,192000000,1469.79,261.98,0.41,1630711.74,100%
write,write,22,88000000,2144.86,1171.95,0.19,747409.55,100%
