Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,320,1280000000,1031.7,422.4,0.97,3876732.04,100%
prepare,write,320,1280000000,1040.33,302.6,0.96,3844525.01,100%
prepare,write,320,1280000000,1038.1,272.54,0.96,3852856.98,100%
prepare,write,320,1280000000,1042.12,232.74,0.96,3838034.93,100%
prepare,write,310,1240000000,1014.59,242.72,0.99,3942101.97,100%
prepare,write,310,1240000000,1055.39,594.23,0.95,3789684.72,100%
prepare,write,310,1240000000,1065.41,228.78,0.94,3754140.15,100%
prepare,write,310,1240000000,1064.34,419.37,0.94,3757860.44,100%
prepare,write,310,1240000000,1045.37,412.36,0.96,3826038.66,100%
prepare,write,310,1240000000,1075.24,378.53,0.93,3719713.58,100%
prepare,write,310,1240000000,1058.12,214.55,0.95,3780026.83,100%
prepare,write,310,1240000000,1072.81,274.73,0.93,3728224.46,100%
prepare,write,310,1240000000,1046.97,338.02,0.96,3820262.8,100%
prepare,write,310,1240000000,1050.08,363.52,0.95,3808833.42,100%
prepare,write,310,1240000000,1062.98,305.25,0.94,3762695.3,100%
prepare,write,310,1240000000,1044.8,350.85,0.96,3828117.52,100%
