Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,26,104000000,2797.08,946.46,0.22,868374.47,100%
write,write,14,56000000,3359.86,2099,0.12,467586.25,100%
read,read,21,84000000,3744.48,1143.81,0.19,766864.16,100%
write,write,6,24000000,5150.33,3394.5,0.05,219104.05,100%
read,read,31,124000000,2809.71,698,0.28,1106994.6,100%
write,write,6,24000000,4152.33,2586.33,0.05,214257.02,100%
read,read,26,104000000,3108.5,1417.69,0.23,905450.11,100%
write,write,11,44000000,3094.27,1856.45,0.1,383075.05,100%
read,read,18,72000000,3371.67,840.94,0.15,619093.89,100%
write,write,12,48000000,4633.83,3368.67,0.1,412729.26,100%
read,read,24,96000000,3060.17,499.62,0.21,822276.85,100%
write,write,11,44000000,3936.73,2629.45,0.09,376876.89,100%
read,read,26,104000000,2770.19,870.77,0.24,943490.37,100%
write,write,10,40000000,3820.2,2521.7,0.09,362880.91,100%
read,read,20,80000000,3360.7,1121.9,0.17,696803.41,100%
write,write,6,24000000,7932.67,6775.67,0.05,209041.02,100%
read,read,25,100000000,2729.52,888.8,0.22,884009.16,100%
write,write,9,36000000,4986.89,3309.89,0.08,318243.3,100%
read,read,17,68000000,2041.24,482.29,0.15,593352.7,100%
write,write,10,40000000,7990.2,6488.8,0.09,349031,100%
read,read,21,84000000,2628,940.52,0.18,735352.05,100%
write,write,10,40000000,5904.1,4486.4,0.09,350167.64,100%
read,read,23,92000000,3172.43,1019.52,0.2,784587.96,100%
write,write,8,32000000,5536.25,4404.12,0.07,272900.16,100%
read,read,22,88000000,3181,957.55,0.2,784852.35,100%
write,write,10,40000000,4214,2652.6,0.09,356751.07,100%
read,read,16,64000000,2716.69,816.38,0.14,574815.88,100%
write,write,10,40000000,6786.9,5260.9,0.09,359259.92,100%
read,read,18,72000000,3656.89,950.83,0.16,624669.23,100%
write,write,10,40000000,4943.6,3590.5,0.09,347038.46,100%
read,read,20,80000000,3507,1443.75,0.17,688930.61,100%
write,write,11,44000000,4179.73,3022.64,0.09,378911.83,100%
read,read,24,96000000,2987.54,1131.37,0.22,882653.11,100%
write,write,13,52000000,2850.69,1691.15,0.12,478103.77,100%
read,read,24,96000000,3198.42,1448.71,0.2,807224.66,100%
write,write,9,36000000,4684.89,2789.67,0.08,302709.25,100%
read,read,20,80000000,2875.55,946.6,0.17,690923.85,100%
write,write,13,52000000,4482.69,3378.54,0.11,449100.5,100%
read,read,20,80000000,3458.75,743.3,0.17,685107.48,100%
write,write,8,32000000,5949.25,4476,0.07,274042.99,100%
read,read,26,104000000,2419.96,581.15,0.22,896350.82,100%
write,write,15,60000000,3540.2,2171.53,0.13,517125.47,100%
read,read,22,88000000,2926.82,861.95,0.19,749867.92,100%
write,write,12,48000000,4413.58,3238.08,0.1,409018.87,100%
read,read,15,60000000,3999.27,1596.47,0.13,510364.66,100%
write,write,10,40000000,5757.4,4714,0.09,340243.1,100%
read,read,23,92000000,2484.7,423.87,0.19,779938.62,100%
write,write,16,64000000,3800.44,2220.06,0.14,542566,100%
read,read,24,96000000,3473.75,1315.08,0.22,867710.33,100%
write,write,6,24000000,4544.33,2980.67,0.05,216927.58,100%
read,read,23,92000000,3217.52,1529.65,0.2,804273.14,100%
write,write,9,36000000,4487.11,2947,0.08,314715.58,100%
read,read,26,104000000,2576.54,932.65,0.22,896065.07,100%
write,write,13,52000000,3774.77,2381.54,0.11,448032.53,100%
read,read,28,112000000,3480.5,1487.29,0.25,987045.03,100%
write,write,5,20000000,3202.8,1604.4,0.04,176258.04,100%
read,read,28,112000000,2872.46,745.11,0.24,952753.63,100%
write,write,11,44000000,3374.91,2240.09,0.09,374296.07,100%
read,read,25,100000000,3641.96,1649.92,0.21,842020.17,100%
write,write,9,36000000,3079.11,1822.56,0.08,303127.26,100%
read,read,27,108000000,2946.22,597.37,0.26,1035117.31,100%
write,write,7,28000000,3540.86,2115.57,0.07,268363.75,100%
read,read,26,104000000,2518.73,489.81,0.22,896366.27,100%
write,write,14,56000000,3609.5,2355.36,0.12,482658.76,100%
read,read,25,100000000,3206.52,1166.6,0.21,858339.63,100%
write,write,7,28000000,5191.43,3799.57,0.06,240335.1,100%
read,read,28,112000000,3015.25,1132.32,0.24,955639.55,100%
write,write,9,36000000,3641.33,2067.89,0.08,307169.86,100%
read,read,30,120000000,2737.13,825.97,0.26,1030848.13,100%
write,write,8,32000000,4286.38,2745.88,0.07,274892.83,100%
read,read,32,128000000,2436.34,764.69,0.27,1071156.6,100%
write,write,10,40000000,4153.2,2881,0.08,334736.44,100%
read,read,25,100000000,2633.44,587.52,0.22,868930.52,100%
write,write,11,44000000,4476.91,3079,0.1,382329.43,100%
read,read,34,136000000,2332.85,720.26,0.29,1144145.51,100%
write,write,9,36000000,4394.11,3115.67,0.08,302862.05,100%
read,read,26,104000000,3015.42,1271.77,0.23,903012.94,100%
write,write,7,28000000,5252.57,3530.86,0.06,243118.87,100%
read,read,24,96000000,3286.58,1213,0.22,869116.49,100%
write,write,13,52000000,2429.08,1133,0.12,470771.43,100%
read,read,23,92000000,3253.39,960.87,0.2,783218.69,100%
write,write,10,40000000,4263.3,3115.3,0.09,340529.86,100%
read,read,20,80000000,3349.4,1290.1,0.17,692065.47,100%
write,write,10,40000000,4860.7,3550,0.09,346032.73,100%
read,read,35,140000000,2492.46,409.83,0.31,1242191.94,100%
write,write,11,44000000,2314.91,878,0.1,390403.18,100%
read,read,26,104000000,3212.54,1103.58,0.22,892734.51,100%
write,write,7,28000000,4709.86,3079.71,0.06,240351.6,100%
read,read,24,96000000,2696.38,973.38,0.21,833528.69,100%
write,write,15,60000000,3363.8,2231.13,0.13,520955.43,100%
read,read,24,96000000,3424.62,1085.67,0.21,836878.44,100%
write,write,9,36000000,3613.33,2401.67,0.08,313829.42,100%
read,read,27,108000000,2456,706.56,0.24,940864.9,100%
write,write,15,60000000,3231.67,1874.93,0.13,522702.72,100%
read,read,21,84000000,3003.95,1183.62,0.18,704319.83,100%
write,write,11,44000000,5107.09,3491.45,0.09,368929.43,100%
read,read,25,100000000,3004,1301.68,0.21,856721.84,100%
write,write,11,44000000,3783.82,2523.91,0.09,376957.61,100%
read,read,15,60000000,3080.07,1088.8,0.13,518470.51,100%
write,write,17,68000000,4089.47,2581.59,0.15,587599.91,100%
read,read,22,88000000,3268.36,1543.05,0.19,774709.26,100%
write,write,9,36000000,4631.67,3298.67,0.08,316926.52,100%
read,read,20,80000000,2360.55,527.45,0.17,687119.94,100%
write,write,15,60000000,4614.27,3558.8,0.13,515339.95,100%
read,read,30,120000000,2746.37,553.9,0.25,1011096.79,100%
write,write,12,48000000,3024.25,1816.08,0.1,404438.71,100%
read,read,27,108000000,3291.15,1175.63,0.23,936849.41,100%
write,write,5,20000000,5283.6,3978,0.04,173490.63,100%
read,read,14,56000000,3163.57,1247.57,0.12,484584.17,100%
write,write,18,72000000,3959.44,2690.22,0.16,623036.79,100%
read,read,22,88000000,3290.32,905.55,0.2,784656.4,100%
write,write,7,28000000,5680.29,4569.71,0.06,249663.4,100%
read,read,25,100000000,3219,1204.72,0.21,852907.56,100%
write,write,6,24000000,6128.17,4470.33,0.05,204697.81,100%
read,read,19,76000000,2767.26,1155.32,0.17,674901.65,100%
write,write,12,48000000,5002.33,3886.08,0.11,426253.67,100%
read,read,27,108000000,3130.67,978.26,0.24,948849.96,100%
write,write,8,32000000,3661.62,2158.62,0.07,281140.73,100%
read,read,29,116000000,2620.69,1025.17,0.25,1012393.09,100%
write,write,8,32000000,4822.25,3271.75,0.07,279280.85,100%
read,read,33,132000000,2980.79,976.15,0.28,1106472.87,100%
write,write,5,20000000,4186.2,2580,0.04,167647.4,100%
read,read,29,116000000,3358.17,1317.76,0.25,1005783.25,100%
write,write,7,28000000,2563.57,1563.14,0.06,242775.27,100%
read,read,22,88000000,2851.73,766,0.19,772627.9,100%
write,write,10,40000000,5115.7,3610,0.09,351194.5,100%
read,read,28,112000000,2346.57,1016.79,0.25,987105.93,100%
write,write,7,28000000,6822.14,5438,0.06,246776.48,100%
