BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
128M,1024,7.6388,141,2018-02-01 17:12:32
128M,1024,7.70221,139,2018-02-01 17:17:47
128M,1024,7.69529,140,2018-02-01 17:07:15
