BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
128M,1024,5.10006,211,2018-02-01 17:12:32
128M,1024,5.27181,204,2018-02-01 17:17:47
128M,1024,5.33236,201,2018-02-01 17:07:15
