Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:45:43,submitting @ 2017-11-15 13:45:43,authing @ 2017-11-15 13:45:43,launching @ 2017-11-15 13:45:43,running @ 2017-11-15 13:45:43,closing @ 2017-11-15 13:45:48,completed @ 2017-11-15 13:45:48
s2-prepare,prepare-write,prepare,5000,20000000,79.49,79.49,90,100,110,120,150,200,201.71,806846.98,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:45:51,submitting @ 2017-11-15 13:45:51,authing @ 2017-11-15 13:45:51,launching @ 2017-11-15 13:45:51,running @ 2017-11-15 13:45:51,closing @ 2017-11-15 13:46:21,completed @ 2017-11-15 13:46:21
s3-main-1worker,read,read,9336,37344000,6.97,6.46,10,10,10,20,20,30,77.81,311238.9,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:46:24,submitting @ 2017-11-15 13:46:24,authing @ 2017-11-15 13:46:24,launching @ 2017-11-15 13:46:24,running @ 2017-11-15 13:46:24,closing @ 2017-11-15 13:48:44,completed @ 2017-11-15 13:48:44
s3-main-1worker,write,write,4096,16384000,13.3,13.3,20,20,20,20,30,40,34.14,136550.4,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:46:24,submitting @ 2017-11-15 13:46:24,authing @ 2017-11-15 13:46:24,launching @ 2017-11-15 13:46:24,running @ 2017-11-15 13:46:24,closing @ 2017-11-15 13:48:44,completed @ 2017-11-15 13:48:44
s4-main-4workers,read,read,19062,76248000,14.18,13.57,20,20,20,30,30,50,158.86,635452.7,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:48:47,submitting @ 2017-11-15 13:48:47,authing @ 2017-11-15 13:48:47,launching @ 2017-11-15 13:48:47,running @ 2017-11-15 13:48:47,closing @ 2017-11-15 13:51:07,completed @ 2017-11-15 13:51:07
s4-main-4workers,write,write,8298,33192000,25.17,25.17,30,40,40,40,50,60,69.16,276623.06,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:48:47,submitting @ 2017-11-15 13:48:47,authing @ 2017-11-15 13:48:47,launching @ 2017-11-15 13:48:47,running @ 2017-11-15 13:48:47,closing @ 2017-11-15 13:51:07,completed @ 2017-11-15 13:51:07
s5-main-8workers,read,read,19210,76840000,29.14,28.25,40,40,40,50,60,90,160.12,640482.26,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:51:10,submitting @ 2017-11-15 13:51:10,authing @ 2017-11-15 13:51:10,launching @ 2017-11-15 13:51:10,running @ 2017-11-15 13:51:10,closing @ 2017-11-15 13:53:30,completed @ 2017-11-15 13:53:31
s5-main-8workers,write,write,8395,33580000,47.56,47.56,50,60,70,70,80,110,69.97,279897.88,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:51:10,submitting @ 2017-11-15 13:51:10,authing @ 2017-11-15 13:51:10,launching @ 2017-11-15 13:51:10,running @ 2017-11-15 13:51:10,closing @ 2017-11-15 13:53:30,completed @ 2017-11-15 13:53:31
s6-main-16workers,read,read,20463,81852000,55.23,53.89,60,70,80,80,100,140,170.62,682479.83,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:53:33,submitting @ 2017-11-15 13:53:33,authing @ 2017-11-15 13:53:33,launching @ 2017-11-15 13:53:33,running @ 2017-11-15 13:53:33,closing @ 2017-11-15 13:55:53,completed @ 2017-11-15 13:55:54
s6-main-16workers,write,write,8912,35648000,88.41,88.4,100,110,110,120,140,200,74.31,297230.81,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:53:33,submitting @ 2017-11-15 13:53:33,authing @ 2017-11-15 13:53:33,launching @ 2017-11-15 13:53:33,running @ 2017-11-15 13:53:33,closing @ 2017-11-15 13:55:53,completed @ 2017-11-15 13:55:54
s7-main-32workers,read,read,22036,88144000,103.4,101.3,110,130,140,150,170,320,183.83,735320.97,100%,completed,waiting @ 2017-11-15 13:45:43,booting @ 2017-11-15 13:55:56,submitting @ 2017-11-15 13:55:56,authing @ 2017-11-15 13:55:56,launching @ 2017-11-15 13:55:56,running @ 2017-11-15 13:55:56,closing @ 2017-11-15 13:58:16,completed @ 2017-11-15 13:58:16
