Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
13:58:27,681,266,2724000,1064000,153.21,353.35,151.88,353.35,133.9,52.32,535603.78,209281.94,100%,100%,0,0,0
13:58:32,651,284,2604000,1136000,150.58,375.6,149.42,375.6,124.11,54.21,496446.78,216847.32,100%,100%,1,1,1
13:58:37,885,406,3540000,1624000,143.24,366.56,141.84,366.56,246.66,115.11,986645.74,460442.09,100%,100%,2,2,2
13:58:42,1071,447,4284000,1788000,143.74,374.29,142.52,374.29,244.54,101.72,978161.28,406877.5,100%,100%,3,3,3
13:58:47,1119,447,4476000,1788000,142.15,389.19,140.95,389.19,220.73,88.29,882911.47,353164.18,100%,100%,4,4,4
13:58:52,1070,466,4280000,1864000,142.32,368.8,141.26,368.8,208.16,90.53,832645.72,362111.36,100%,100%,5,5,5
13:58:57,1105,446,4420000,1784000,148.03,373.92,147.01,373.92,216.71,87.99,866856.96,351963.81,100%,100%,6,6,6
13:59:02,1062,490,4248000,1960000,145.79,368.08,144.49,368.07,203.15,93.67,812581.61,374668.38,100%,100%,7,7,7
13:59:07,1051,461,4204000,1844000,154.5,365.49,153.27,365.48,203.7,89.06,814816.92,356227.13,100%,100%,8,8,8
13:59:12,1038,472,4152000,1888000,148.09,372.29,146.98,372.29,201.76,91.62,807033.5,366480.59,100%,100%,9,9,9
13:59:17,999,485,3996000,1940000,147.37,378.47,146.37,378.47,193.29,93.9,773141.87,375593.38,100%,100%,10,10,10
13:59:22,1077,419,4308000,1676000,153.22,396.97,152.1,396.97,208.3,80.88,833187.79,323516.12,100%,100%,11,11,11
13:59:27,1094,436,4376000,1744000,153.98,373.78,152.84,373.78,212.05,84.09,848216.6,336352.06,100%,100%,12,12,12
13:59:32,1095,444,4380000,1776000,151.96,371.64,150.76,371.64,211.7,85.68,846817.52,342735.38,100%,100%,13,13,13
13:59:37,1036,484,4144000,1936000,148.58,364.9,147.54,364.9,200.61,93.69,802428.98,374754.63,100%,100%,14,14,14
13:59:42,1043,468,4172000,1872000,150.28,370.48,149.03,370.48,202.48,90.68,809935.61,362735,100%,100%,15,15,15
13:59:47,1053,469,4212000,1876000,145.69,381.68,144.62,381.68,202.82,90.17,811281.49,360660.84,100%,100%,16,16,16
13:59:52,1088,429,4352000,1716000,153.39,384.48,152.39,384.48,209.96,82.68,839854.44,330730.24,100%,100%,17,17,17
13:59:57,999,469,3996000,1876000,149.86,385.64,148.74,385.64,193.62,90.75,774464.37,363007.52,100%,100%,18,18,18
14:00:02,1050,441,4200000,1764000,148.7,379.28,147.52,379.28,204.85,85.77,819419.53,343084.82,100%,100%,19,19,19
14:00:07,1011,427,4044000,1708000,156.66,388.41,155.49,388.41,200.02,83.83,800096.87,335302.84,100%,100%,20,20,20
14:00:12,994,429,3976000,1716000,153.97,402.16,152.93,402.16,195.54,84.49,782144.39,337953.04,100%,100%,21,21,21
14:00:17,959,425,3836000,1700000,164.96,404.96,163.67,404.96,189.02,83.69,756087.71,334765.04,100%,100%,22,22,22
14:00:22,1054,441,4216000,1764000,153.17,382.61,152.08,382.61,204.52,85.47,818073.31,341890.08,100%,100%,23,23,23
14:00:27,1006,444,4024000,1776000,158.54,375.88,157.11,375.88,194.19,85.73,776749.78,342909.36,100%,100%,24,24,24
14:00:32,1073,438,4292000,1752000,152.71,379.09,151.72,379.09,211.24,86.46,844967.54,345824.19,100%,100%,25,25,25
14:00:37,971,405,3884000,1620000,148.78,390.38,147.72,390.38,189.5,78.92,757999.28,315680.34,100%,100%,26,26,26
14:00:42,265,124,1060000,496000,138.87,366.33,137.56,366.33,224.54,107.78,898178.74,431135.9,100%,100%,27,27,27
