Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,1317,5268000,56.41,55.04,10.98,43933.68,100%
write,write,508,2032000,89.7,89.7,4.24,16946.33,100%
read,read,1235,4940000,55.88,54.51,10.3,41199.97,100%
write,write,565,2260000,89.99,89.99,4.71,18848.57,100%
read,read,1301,5204000,54.69,53.38,10.85,43407.18,100%
write,write,566,2264000,86,86,4.72,18884.29,100%
read,read,1270,5080000,55.76,54.43,10.59,42342.15,100%
write,write,550,2200000,89.24,89.24,4.58,18337.15,100%
read,read,1278,5112000,55.54,54.18,10.65,42609.94,100%
write,write,552,2208000,88.69,88.69,4.6,18404.29,100%
read,read,1276,5104000,55.32,54.01,10.64,42566.32,100%
write,write,552,2208000,89.22,89.22,4.6,18414.27,100%
read,read,1229,4916000,56.29,54.89,10.25,40991.95,100%
write,write,555,2220000,91.34,91.34,4.63,18511.42,100%
read,read,1239,4956000,53.89,52.55,10.33,41307.92,100%
write,write,609,2436000,87.3,87.3,5.08,20303.89,100%
read,read,1321,5284000,53.68,52.26,11.01,44053.52,100%
write,write,563,2252000,86.98,86.98,4.69,18775.27,100%
read,read,1216,4864000,56.58,55.25,10.14,40548.88,100%
write,write,563,2252000,90.76,90.76,4.69,18773.86,100%
read,read,1315,5260000,54.19,52.89,10.96,43842.47,100%
write,write,564,2256000,86.29,86.29,4.7,18803.92,100%
read,read,1329,5316000,54.16,52.76,11.08,44329.55,100%
write,write,545,2180000,87.85,87.85,4.54,18178.79,100%
read,read,1256,5024000,57.03,55.74,10.48,41900.19,100%
write,write,533,2132000,90.48,90.48,4.45,17780.89,100%
read,read,1310,5240000,54.05,52.65,10.92,43694.7,100%
write,write,571,2284000,85.93,85.93,4.76,19045.55,100%
read,read,1281,5124000,55.28,54.02,10.68,42733.12,100%
write,write,556,2224000,88.19,88.19,4.64,18547.71,100%
read,read,1290,5160000,55.2,53.92,10.75,43018.28,100%
write,write,560,2240000,86.94,86.94,4.67,18674.6,100%
