Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:50:07,submitting @ 2017-11-10 14:50:07,authing @ 2017-11-10 14:50:07,launching @ 2017-11-10 14:50:07,running @ 2017-11-10 14:50:07,closing @ 2017-11-10 14:50:12,completed @ 2017-11-10 14:50:12
s2-prepare,prepare-write,prepare,6000,384000000,89.37,87.22,100,110,120,130,150,210,178.99,11455061.6,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:50:14,submitting @ 2017-11-10 14:50:14,authing @ 2017-11-10 14:50:15,launching @ 2017-11-10 14:50:15,running @ 2017-11-10 14:50:15,closing @ 2017-11-10 14:50:50,completed @ 2017-11-10 14:50:50
s3-main-1worker,read,read,3639,232896000,9.47,7.37,10,20,20,20,20,70,60.65,3881729.39,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:50:52,submitting @ 2017-11-10 14:50:52,authing @ 2017-11-10 14:50:52,launching @ 2017-11-10 14:50:53,running @ 2017-11-10 14:50:53,closing @ 2017-11-10 14:51:53,completed @ 2017-11-10 14:51:53
s3-main-1worker,write,write,1577,100928000,16.12,14.11,20,20,30,30,30,40,26.28,1682189.41,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:50:52,submitting @ 2017-11-10 14:50:52,authing @ 2017-11-10 14:50:52,launching @ 2017-11-10 14:50:53,running @ 2017-11-10 14:50:53,closing @ 2017-11-10 14:51:53,completed @ 2017-11-10 14:51:53
s4-main-4workers,read,read,7577,484928000,18.44,15.72,20,30,30,30,40,270,126.32,8084249.37,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:51:55,submitting @ 2017-11-10 14:51:55,authing @ 2017-11-10 14:51:55,launching @ 2017-11-10 14:51:56,running @ 2017-11-10 14:51:56,closing @ 2017-11-10 14:52:56,completed @ 2017-11-10 14:52:56
s4-main-4workers,write,write,3257,208448000,30.65,28.6,40,40,50,50,60,230,54.3,3475030.2,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:51:55,submitting @ 2017-11-10 14:51:55,authing @ 2017-11-10 14:51:55,launching @ 2017-11-10 14:51:56,running @ 2017-11-10 14:51:56,closing @ 2017-11-10 14:52:56,completed @ 2017-11-10 14:52:56
s5-main-8workers,read,read,8142,521088000,35.27,31.63,40,50,50,60,70,280,135.76,8688394.85,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:52:58,submitting @ 2017-11-10 14:52:58,authing @ 2017-11-10 14:52:58,launching @ 2017-11-10 14:52:59,running @ 2017-11-10 14:52:59,closing @ 2017-11-10 14:53:59,completed @ 2017-11-10 14:53:59
s5-main-8workers,write,write,3361,215104000,57.21,55.02,70,70,80,80,90,280,56.04,3586546.94,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:52:58,submitting @ 2017-11-10 14:52:58,authing @ 2017-11-10 14:52:58,launching @ 2017-11-10 14:52:59,running @ 2017-11-10 14:52:59,closing @ 2017-11-10 14:53:59,completed @ 2017-11-10 14:53:59
s6-main-16workers,read,read,8979,574656000,62.9,58.23,70,80,90,100,110,460,149.76,9584716.74,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:54:01,submitting @ 2017-11-10 14:54:01,authing @ 2017-11-10 14:54:01,launching @ 2017-11-10 14:54:02,running @ 2017-11-10 14:54:02,closing @ 2017-11-10 14:55:02,completed @ 2017-11-10 14:55:02
s6-main-16workers,write,write,3840,245760000,102.64,100.4,110,120,130,140,160,470,64.05,4099065.99,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:54:01,submitting @ 2017-11-10 14:54:01,authing @ 2017-11-10 14:54:01,launching @ 2017-11-10 14:54:02,running @ 2017-11-10 14:54:02,closing @ 2017-11-10 14:55:02,completed @ 2017-11-10 14:55:02
s7-main-32workers,read,read,9616,615424000,116.06,111.34,130,160,190,210,260,380,160.55,10275150.32,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:55:04,submitting @ 2017-11-10 14:55:04,authing @ 2017-11-10 14:55:05,launching @ 2017-11-10 14:55:05,running @ 2017-11-10 14:55:05,closing @ 2017-11-10 14:56:05,completed @ 2017-11-10 14:56:05
s7-main-32workers,write,write,4128,264192000,193.83,191.52,210,240,280,300,380,530,68.92,4410930.37,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:55:04,submitting @ 2017-11-10 14:55:04,authing @ 2017-11-10 14:55:05,launching @ 2017-11-10 14:55:05,running @ 2017-11-10 14:55:05,closing @ 2017-11-10 14:56:05,completed @ 2017-11-10 14:56:05
s8-main-64workers,read,read,10431,667584000,197.1,193.07,240,340,400,450,540,780,174.63,11176375.58,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:56:07,submitting @ 2017-11-10 14:56:08,authing @ 2017-11-10 14:56:08,launching @ 2017-11-10 14:56:08,running @ 2017-11-10 14:56:08,closing @ 2017-11-10 14:57:08,completed @ 2017-11-10 14:57:08
s8-main-64workers,write,write,4377,280128000,403.54,401.13,470,640,750,840,1030,1380,73.28,4690066.71,100%,completed,waiting @ 2017-11-10 14:50:07,booting @ 2017-11-10 14:56:07,submitting @ 2017-11-10 14:56:08,authing @ 2017-11-10 14:56:08,launching @ 2017-11-10 14:56:08,running @ 2017-11-10 14:56:08,closing @ 2017-11-10 14:57:08,completed @ 2017-11-10 14:57:08
