Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,93,5952000,361.25,356.89,1.57,100196.96,100%
write,write,32,2048000,806.31,803.94,0.54,34476.37,100%
read,read,101,6464000,275.09,271.34,1.68,107821.39,100%
write,write,36,2304000,893.5,891.25,0.6,38431.39,100%
read,read,87,5568000,275.06,271.05,1.46,93378.95,100%
write,write,39,2496000,915.26,912.92,0.65,41859.53,100%
read,read,70,4480000,439.29,435.66,1.18,75674.4,100%
write,write,31,1984000,917.61,915.45,0.52,33512.95,100%
read,read,95,6080000,344.66,340.09,1.59,102025.41,100%
write,write,32,2048000,838.97,836.28,0.54,34366.45,100%
read,read,90,5760000,373.73,369.09,1.51,96576.24,100%
write,write,33,2112000,787.88,785.45,0.55,35411.29,100%
read,read,65,4160000,438.88,434.82,1.1,70713.42,100%
write,write,32,2048000,946.81,944.5,0.54,34812.76,100%
read,read,93,5952000,341.62,335.23,1.55,99236.39,100%
write,write,41,2624000,687.9,685.41,0.68,43749.37,100%
read,read,88,5632000,374.33,371.23,1.47,93913.62,100%
write,write,30,1920000,900.97,898.6,0.5,32016.01,100%
read,read,99,6336000,341.24,336.97,1.68,107563.03,100%
write,write,36,2304000,697.75,695.33,0.61,39113.83,100%
read,read,85,5440000,362.99,359.32,1.42,91036.88,100%
write,write,34,2176000,850.03,847.53,0.57,36414.75,100%
read,read,85,5440000,325.71,322.28,1.42,90766.51,100%
write,write,31,1984000,1040.16,1036.9,0.52,33103.08,100%
read,read,92,5888000,367.63,363.86,1.54,98425.33,100%
write,write,35,2240000,742.8,740.09,0.59,37444.42,100%
read,read,83,5312000,388.98,385.45,1.38,88583.53,100%
write,write,38,2432000,728.37,725.74,0.63,40556.32,100%
read,read,91,5824000,337.35,333.55,1.53,98220.76,100%
write,write,36,2304000,794.22,791.64,0.61,38856.56,100%
read,read,74,4736000,367.11,362.96,1.24,79552.52,100%
