Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,37,2368000,614.57,609.97,0.63,40092.1,100%
write,write,23,1472000,1579.26,1576.17,0.39,24922.12,100%
read,read,43,2752000,576.93,574.44,0.76,48380.01,100%
write,write,24,1536000,1336.33,1334,0.42,27002.8,100%
read,read,33,2112000,669.09,665.7,0.56,36155.72,100%
write,write,16,1024000,2270.62,2268.31,0.27,17530.04,100%
read,read,24,1536000,692.67,689.25,0.4,25722.18,100%
write,write,17,1088000,2534.71,2532.29,0.28,18219.88,100%
read,read,35,2240000,627.66,624.49,0.61,38983.64,100%
write,write,21,1344000,1690.05,1687.29,0.37,23390.18,100%
read,read,32,2048000,964.88,960.06,0.54,34607.46,100%
write,write,17,1088000,1664.65,1662.24,0.29,18385.21,100%
read,read,39,2496000,609.46,606.26,0.65,41878.49,100%
write,write,19,1216000,1885.58,1882.95,0.32,20402.34,100%
read,read,30,1920000,797.17,792.97,0.51,32561.14,100%
write,write,15,960000,2336.53,2334.6,0.25,16280.57,100%
read,read,42,2688000,676.95,674.07,0.72,45777.35,100%
write,write,12,768000,2523.75,2521.08,0.2,13079.24,100%
read,read,49,3136000,644.98,640.43,0.82,52318.11,100%
write,write,29,1856000,977.07,974.76,0.48,30963.78,100%
read,read,44,2816000,599.77,595.8,0.73,46960.73,100%
write,write,17,1088000,1974.88,1972.94,0.28,18143.92,100%
read,read,51,3264000,472.31,468.51,0.85,54717.36,100%
write,write,18,1152000,1975.67,1973.5,0.3,19312.01,100%
read,read,40,2560000,734.48,730.32,0.68,43420.74,100%
write,write,15,960000,1971.73,1968.4,0.25,16282.78,100%
read,read,49,3136000,722.94,719.55,0.87,55476.93,100%
write,write,16,1024000,1318.94,1316.19,0.28,18114.92,100%
read,read,51,3264000,575.31,571.08,0.89,57259.14,100%
write,write,18,1152000,1536.78,1533.61,0.32,20209.11,100%
read,read,47,3008000,645.68,637.89,0.79,50744.81,100%
write,write,18,1152000,1607,1604.67,0.3,19434.18,100%
read,read,29,1856000,727.97,723.48,0.49,31374.14,100%
write,write,18,1152000,2113.56,2110.89,0.3,19473.6,100%
read,read,44,2816000,770.27,765.18,0.76,48346.67,100%
write,write,13,832000,1873.15,1870.54,0.22,14284.24,100%
read,read,52,3328000,671.81,667.06,0.87,55719.26,100%
write,write,21,1344000,1180.48,1178.19,0.35,22502.01,100%
read,read,55,3520000,628.4,624.38,0.92,58716.58,100%
write,write,19,1216000,1336.05,1333.68,0.32,20283.91,100%
read,read,44,2816000,541.27,539.18,0.73,46971.69,100%
write,write,22,1408000,1642.5,1639.23,0.37,23485.85,100%
read,read,53,3392000,598.09,595.53,0.89,57105.34,100%
write,write,17,1088000,1629.35,1627,0.29,18316.81,100%
read,read,39,2496000,534.59,531.72,0.69,44098.16,100%
write,write,25,1600000,1430.04,1427.4,0.44,28268.05,100%
read,read,44,2816000,657.66,653.2,0.74,47551.5,100%
write,write,21,1344000,1441.86,1439.38,0.35,22695.04,100%
read,read,51,3264000,444.75,442.25,0.86,54740.3,100%
