BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
64M,1024,7.59908,141,2018-02-01 17:12:18
64M,1024,7.5239,143,2018-02-01 17:17:33
64M,1024,7.84735,137,2018-02-01 17:07:01
