BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
64M,1024,5.30829,202,2018-02-01 17:12:18
64M,1024,5.33331,201,2018-02-01 17:17:33
64M,1024,5.48742,196,2018-02-01 17:07:01
