Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:21:00,submitting @ 2017-11-15 14:21:00,authing @ 2017-11-15 14:21:00,launching @ 2017-11-15 14:21:01,running @ 2017-11-15 14:21:01,closing @ 2017-11-15 14:21:06,completed @ 2017-11-15 14:21:06
s2-prepare,prepare-write,prepare,5000,320000000,93.05,90.87,100,110,120,130,150,350,171.88,11000465.82,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:21:08,submitting @ 2017-11-15 14:21:08,authing @ 2017-11-15 14:21:08,launching @ 2017-11-15 14:21:09,running @ 2017-11-15 14:21:09,closing @ 2017-11-15 14:21:39,completed @ 2017-11-15 14:21:39
s3-main-1worker,read,read,7497,479808000,9.04,6.96,10,10,20,20,20,40,62.48,3998666.58,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:21:41,submitting @ 2017-11-15 14:21:41,authing @ 2017-11-15 14:21:41,launching @ 2017-11-15 14:21:42,running @ 2017-11-15 14:21:42,closing @ 2017-11-15 14:24:02,completed @ 2017-11-15 14:24:02
s3-main-1worker,write,write,3299,211136000,15.75,13.73,20,20,20,20,30,30,27.49,1759583.97,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:21:41,submitting @ 2017-11-15 14:21:41,authing @ 2017-11-15 14:21:41,launching @ 2017-11-15 14:21:42,running @ 2017-11-15 14:21:42,closing @ 2017-11-15 14:24:02,completed @ 2017-11-15 14:24:02
s4-main-4workers,read,read,15835,1013440000,17.56,14.97,20,30,30,30,40,260,131.98,8446676.93,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:24:04,submitting @ 2017-11-15 14:24:04,authing @ 2017-11-15 14:24:04,launching @ 2017-11-15 14:24:05,running @ 2017-11-15 14:24:05,closing @ 2017-11-15 14:26:25,completed @ 2017-11-15 14:26:25
s4-main-4workers,write,write,6798,435072000,29.59,27.44,40,40,40,50,50,80,56.66,3626166.22,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:24:04,submitting @ 2017-11-15 14:24:04,authing @ 2017-11-15 14:24:04,launching @ 2017-11-15 14:24:05,running @ 2017-11-15 14:24:05,closing @ 2017-11-15 14:26:25,completed @ 2017-11-15 14:26:25
s5-main-8workers,read,read,16257,1040448000,34.42,30.88,40,50,50,60,60,270,135.52,8672990.75,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:26:27,submitting @ 2017-11-15 14:26:27,authing @ 2017-11-15 14:26:27,launching @ 2017-11-15 14:26:28,running @ 2017-11-15 14:26:28,closing @ 2017-11-15 14:28:48,completed @ 2017-11-15 14:28:48
s5-main-8workers,write,write,6990,447360000,57.15,54.94,60,70,80,80,90,280,58.27,3729115.5,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:26:27,submitting @ 2017-11-15 14:26:27,authing @ 2017-11-15 14:26:27,launching @ 2017-11-15 14:26:28,running @ 2017-11-15 14:26:28,closing @ 2017-11-15 14:28:48,completed @ 2017-11-15 14:28:48
s6-main-16workers,read,read,16832,1077248000,66.17,61.47,70,80,90,100,120,450,140.36,8982962.11,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:28:50,submitting @ 2017-11-15 14:28:50,authing @ 2017-11-15 14:28:50,launching @ 2017-11-15 14:28:51,running @ 2017-11-15 14:28:51,closing @ 2017-11-15 14:31:11,completed @ 2017-11-15 14:31:11
s6-main-16workers,write,write,7244,463616000,111.01,108.72,120,130,140,150,170,280,60.41,3865995.23,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:28:50,submitting @ 2017-11-15 14:28:50,authing @ 2017-11-15 14:28:50,launching @ 2017-11-15 14:28:51,running @ 2017-11-15 14:28:51,closing @ 2017-11-15 14:31:11,completed @ 2017-11-15 14:31:11
s7-main-32workers,read,read,18181,1163584000,120.92,115.23,130,160,170,190,230,420,151.71,9709131.23,100%,completed,waiting @ 2017-11-15 14:21:00,booting @ 2017-11-15 14:31:13,submitting @ 2017-11-15 14:31:13,authing @ 2017-11-15 14:31:13,launching @ 2017-11-15 14:31:14,running @ 2017-11-15 14:31:14,closing @ 2017-11-15 14:33:34,completed @ 2017-11-15 14:33:34
