Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,28,1792000,1659.96,1657.18,0.25,15774.79,100%
write,write,14,896000,4794.14,4791.14,0.12,7887.39,100%
read,read,36,2304000,1226.22,1223.11,0.31,20135.99,100%
write,write,16,1024000,4392.38,4390.12,0.14,8949.33,100%
read,read,31,1984000,1660.71,1656.9,0.27,17033.84,100%
write,write,17,1088000,3823,3820.76,0.15,9341.14,100%
read,read,32,2048000,1672.25,1662.31,0.27,17492.46,100%
write,write,13,832000,4889.77,4887.23,0.11,7106.31,100%
read,read,24,1536000,1925.29,1922.79,0.2,12970.89,100%
write,write,18,1152000,4011.78,4009.22,0.15,9728.17,100%
read,read,21,1344000,1969.1,1966.33,0.19,12335.37,100%
write,write,13,832000,5200.15,5197.54,0.12,7636.18,100%
read,read,38,2432000,1624.92,1621.74,0.34,21783.33,100%
write,write,15,960000,3326.53,3323.53,0.13,8598.68,100%
read,read,33,2112000,1369.79,1367.27,0.29,18351.17,100%
write,write,12,768000,5823.5,5819.75,0.1,6673.15,100%
read,read,26,1664000,1885.62,1881.96,0.22,14250.24,100%
write,write,15,960000,4516,4513.67,0.13,8221.29,100%
read,read,31,1984000,1500.06,1497.32,0.26,16841.1,100%
write,write,18,1152000,3961.39,3959.17,0.15,9778.71,100%
read,read,44,2816000,1576.25,1573.43,0.38,24628.3,100%
write,write,12,768000,3748.67,3744.42,0.1,6716.81,100%
read,read,38,2432000,1386.66,1381.95,0.32,20787.92,100%
write,write,16,1024000,4018.62,4015.94,0.14,8752.81,100%
read,read,30,1920000,1452.43,1449.97,0.26,16340.84,100%
write,write,15,960000,4928.2,4925.6,0.13,8170.42,100%
read,read,36,2304000,1545.97,1542.86,0.3,19425.01,100%
write,write,11,704000,5723.09,5721.18,0.09,5935.42,100%
read,read,34,2176000,1580.85,1577.26,0.29,18838.69,100%
write,write,13,832000,4750.54,4748.23,0.11,7203.03,100%
read,read,38,2432000,1603.16,1599.89,0.33,21432.6,100%
write,write,12,768000,4378.92,4376.5,0.11,6768.19,100%
read,read,25,1600000,1734.32,1731.12,0.22,13766.76,100%
write,write,13,832000,5604.85,5602.23,0.11,7158.71,100%
read,read,30,1920000,1839.77,1836.43,0.25,16132.83,100%
write,write,18,1152000,3545.5,3543.28,0.15,9679.7,100%
read,read,31,1984000,1751.19,1748.55,0.27,17469.09,100%
write,write,12,768000,4940.25,4937.92,0.11,6762.23,100%
read,read,25,1600000,1720.88,1717.88,0.22,14008.79,100%
write,write,15,960000,4746.07,4743.53,0.13,8405.27,100%
read,read,37,2368000,1441.11,1437.05,0.33,21175.19,100%
write,write,13,832000,4500.08,4497.31,0.12,7439.93,100%
read,read,37,2368000,1395.08,1392.46,0.31,19903.84,100%
write,write,12,768000,5612.58,5610,0.1,6455.3,100%
read,read,17,1088000,1516.53,1510.41,0.15,9619.72,100%
write,write,18,1152000,4851.06,4848.28,0.16,10185.59,100%
read,read,40,2560000,1712.82,1708.95,0.36,22741,100%
write,write,10,640000,4405.9,4402.4,0.09,5685.25,100%
read,read,42,2688000,1337.4,1334.05,0.37,23748.73,100%
write,write,13,832000,4385.62,4383.15,0.11,7350.8,100%
read,read,21,1344000,1763.1,1760.71,0.18,11423.52,100%
write,write,16,1024000,5039.12,5037.12,0.14,8703.63,100%
read,read,41,2624000,1418.85,1414.88,0.35,22085.13,100%
write,write,21,1344000,2887.57,2885.48,0.18,11311.89,100%
read,read,50,3200000,1443.66,1440.4,0.43,27769.1,100%
write,write,12,768000,3587.67,3585.42,0.1,6664.58,100%
read,read,39,2496000,1611.13,1607.79,0.33,21217.81,100%
write,write,12,768000,4566.75,4564.67,0.1,6528.56,100%
read,read,26,1664000,2017.12,2014.04,0.22,14336.67,100%
write,write,16,1024000,3976.12,3973.75,0.14,8822.57,100%
read,read,38,2432000,1261.47,1256.82,0.34,21817.14,100%
write,write,16,1024000,3970.94,3968.56,0.14,9186.16,100%
read,read,44,2816000,1208.02,1204.61,0.39,24982.92,100%
write,write,15,960000,3970.87,3968.8,0.13,8516.91,100%
read,read,28,1792000,1524.79,1521.57,0.24,15109.1,100%
write,write,15,960000,5060.6,5058.13,0.13,8094.16,100%
read,read,45,2880000,1316.02,1312.36,0.4,25673.71,100%
write,write,12,768000,4412.92,4407.58,0.11,6846.32,100%
read,read,30,1920000,1677.53,1674.73,0.25,16140.42,100%
write,write,13,832000,5279.23,5276.38,0.11,6994.18,100%
read,read,32,2048000,1857.44,1853.38,0.27,17210.95,100%
write,write,15,960000,3970.33,3965.87,0.13,8067.63,100%
read,read,28,1792000,1302.96,1299.82,0.25,15695.89,100%
write,write,21,1344000,3699.33,3696.67,0.18,11771.92,100%
read,read,40,2560000,1169.05,1165.42,0.34,21810.99,100%
write,write,22,1408000,3209.36,3206.95,0.19,11996.05,100%
read,read,46,2944000,1560.61,1556.67,0.39,25257.59,100%
write,write,13,832000,3443.54,3440.77,0.11,7138.02,100%
read,read,37,2368000,1234.19,1230.68,0.33,21428.7,100%
write,write,13,832000,4987.62,4985.46,0.12,7529,100%
read,read,27,1728000,1370.3,1365.19,0.23,14522.96,100%
write,write,15,960000,5465.73,5462.47,0.13,8068.31,100%
read,read,32,2048000,1481.47,1478.19,0.27,17472.91,100%
write,write,18,1152000,3877.83,3875.17,0.15,9828.51,100%
read,read,42,2688000,1310.33,1307.1,0.37,23514.8,100%
write,write,14,896000,4234,4231.43,0.12,7838.27,100%
read,read,40,2560000,1172.18,1169.27,0.36,22911.76,100%
write,write,13,832000,4988.15,4985,0.12,7446.32,100%
read,read,31,1984000,1564.52,1561.45,0.27,17430.57,100%
write,write,16,1024000,4082.69,4080.25,0.14,8996.42,100%
read,read,31,1984000,1605.45,1602.32,0.27,17454.49,100%
write,write,16,1024000,3993.5,3991.06,0.14,9008.77,100%
read,read,45,2880000,1244.07,1240.33,0.4,25903.24,100%
write,write,15,960000,3679.87,3677.67,0.13,8634.41,100%
read,read,28,1792000,1610.54,1606.71,0.24,15490.21,100%
write,write,12,768000,5882.42,5879.33,0.1,6638.66,100%
read,read,37,2368000,1458.46,1455.54,0.32,20266.68,100%
write,write,16,1024000,3929.81,3926.31,0.14,8763.97,100%
read,read,39,2496000,1514.59,1511.49,0.33,21018.06,100%
write,write,12,768000,4973.58,4971,0.1,6467.1,100%
read,read,49,3136000,1583.39,1579.08,0.43,27344.23,100%
write,write,11,704000,3372.55,3370.27,0.1,6138.5,100%
read,read,27,1728000,1586.81,1584.07,0.24,15179.6,100%
write,write,14,896000,5070.93,5068.43,0.12,7870.9,100%
read,read,29,1856000,1187.59,1184.21,0.26,16656.79,100%
write,write,17,1088000,4528.47,4525.94,0.15,9764.33,100%
read,read,37,2368000,1680.49,1677.08,0.32,20329.84,100%
write,write,13,832000,4176.85,4174.69,0.11,7142.92,100%
read,read,37,2368000,1527.16,1524.38,0.31,19900.33,100%
write,write,17,1088000,3675.71,3673.18,0.14,9143.39,100%
read,read,40,2560000,1860.8,1857.7,0.34,22042.93,100%
write,write,10,640000,4170.4,4167.3,0.09,5510.73,100%
read,read,27,1728000,1991.37,1987.7,0.24,15071.04,100%
write,write,10,640000,6088.7,6086.5,0.09,5581.87,100%
read,read,22,1408000,1645.59,1642.77,0.18,11741.85,100%
write,write,15,960000,5580.53,5577.27,0.13,8005.8,100%
read,read,33,2112000,1606.12,1602.21,0.28,17957.05,100%
write,write,12,768000,5384.08,5381.58,0.1,6529.83,100%
read,read,43,2752000,1084.77,1080.79,0.37,23441.83,100%
write,write,18,1152000,3930.61,3928.39,0.15,9812.86,100%
read,read,47,3008000,1391.02,1387.49,0.4,25514.01,100%
write,write,15,960000,3501.07,3498.47,0.13,8142.77,100%
read,read,24,1536000,1680.67,1676.04,0.2,13107.93,100%
write,write,14,896000,5488.86,5486.36,0.12,7646.29,100%
read,read,34,2176000,1538.15,1533.71,0.3,19347.21,100%
write,write,16,1024000,3760.88,3758.44,0.14,9104.57,100%
read,read,35,2240000,1509.11,1505.74,0.32,20670.69,100%
write,write,14,896000,3967.43,3964.64,0.13,8268.28,100%
read,read,35,2240000,1549.23,1546.14,0.29,18749.95,100%
write,write,14,896000,4660.21,4657.79,0.12,7499.98,100%
read,read,40,2560000,1236.22,1232.85,0.34,22025.86,100%
write,write,20,1280000,3338.75,3336.55,0.17,11012.93,100%
read,read,25,1600000,2074.6,2071.44,0.21,13496.3,100%
write,write,16,1024000,4167.81,4164.75,0.13,8637.63,100%
read,read,45,2880000,1321.8,1318.2,0.4,25861.84,100%
write,write,10,640000,5187.8,5185.6,0.09,5747.07,100%
read,read,41,2624000,1151.95,1147.8,0.34,22035.61,100%
write,write,20,1280000,3592.35,3589,0.17,10749.08,100%
read,read,37,2368000,1627.49,1624.78,0.32,20296.22,100%
write,write,15,960000,3763.67,3761.27,0.13,8228.2,100%
read,read,37,2368000,1636.14,1633.16,0.32,20414.5,100%
write,write,12,768000,4621.58,4619.08,0.1,6620.92,100%
read,read,33,2112000,1571.79,1568.82,0.28,18128.76,100%
write,write,17,1088000,3801.65,3799.29,0.15,9339.06,100%
read,read,24,1536000,2107,2103.79,0.2,12892.94,100%
write,write,14,896000,4897.57,4894.79,0.12,7520.88,100%
