Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
09:39:44,1171,513,149888000,65664000,42.02,60.71,36.27,54.97,233,102.05,29824610.38,13062097.56,100%,100%,0,0,0
09:39:49,876,380,112128000,48640000,54.49,86.43,47.11,81.59,173.84,75.42,22250966.27,9653819.95,100%,100%,1,1,1
09:39:54,827,333,105856000,42624000,57.64,98.23,49.53,93.57,164.55,66.27,21062355.29,8482615.56,100%,100%,2,2,2
09:39:59,737,326,94336000,41728000,57.67,101.3,50.04,96.58,146.3,64.74,18725931.59,8286154.94,100%,100%,3,3,3
09:40:04,633,256,81024000,32768000,62.35,101.06,54.32,96.31,134.78,56.23,17251873.11,7196837.69,100%,100%,4,4,4
09:40:09,438,199,56064000,25472000,64.01,112.54,55.31,107.76,112.87,53.27,14447803.72,6818802.38,100%,100%,5,5,5
09:40:14,681,277,87168000,35456000,65.56,112.66,55.86,107.91,188.38,76.74,24112815.93,9823081.29,100%,100%,6,6,6
09:40:19,668,284,85504000,36352000,64.96,112.47,56.12,107.45,139.9,60.71,17907561.47,7770602.24,100%,100%,7,7,7
09:40:24,677,295,86656000,37760000,63.92,109.12,55.15,104.2,144.07,61.8,18441481.42,7910763.96,100%,100%,8,8,8
09:40:29,709,262,90752000,33536000,61.79,101.74,53.94,96.95,148.56,57.36,19016038.14,7342355.49,100%,100%,9,9,9
09:40:34,742,333,94976000,42624000,62.23,103.29,54.25,98.38,166.68,74.21,21335545.93,9498780.66,100%,100%,10,10,10
09:40:39,719,297,92032000,38016000,62,104.32,53.52,99.36,142.7,58.92,18265773.63,7541442.34,100%,100%,11,11,11
09:40:44,766,305,98048000,39040000,63,106.28,54.71,101.37,162.14,63.83,20754082.13,8169837.37,100%,100%,12,12,12
09:40:49,751,308,96128000,39424000,63.37,107.36,54.99,102.75,148.89,61.09,19057676.31,7819047.93,100%,100%,13,13,13
09:40:54,737,335,94336000,42880000,61.66,104.89,53.07,100.21,146.3,66.48,18726636.44,8508957.55,100%,100%,14,14,14
09:40:59,730,333,93440000,42624000,62.51,105.98,54.7,101.05,144.31,65.79,18472235.53,8421118.11,100%,100%,15,15,15
09:41:04,754,324,96512000,41472000,62.5,104.97,54.6,100.12,148.69,63.88,19032125.5,8176892.65,100%,100%,16,16,16
09:41:09,701,329,89728000,42112000,62.82,111.99,54.7,107.05,138.63,65.05,17744030.94,8326029.81,100%,100%,17,17,17
09:41:14,739,305,94592000,39040000,64.99,107.22,56.73,102.6,146.39,60.44,18737380.67,7735847.41,100%,100%,18,18,18
09:41:19,705,330,90240000,42240000,63.47,109.81,54.86,105.04,139.24,65.14,17822499.67,8337976.64,100%,100%,19,19,19
09:41:24,744,308,95232000,39424000,64.02,106.93,55.42,101.89,147.71,61.14,18906943.17,7826262.52,100%,100%,20,20,20
09:41:29,721,338,92288000,43264000,62.24,106.54,54.52,101.73,142.6,66.8,18252433.6,8550188.1,100%,100%,21,21,21
09:41:34,806,260,103168000,33280000,65.52,107.23,57.2,102.31,159.81,51.52,20455735.87,6595017.64,100%,100%,22,22,22
09:41:39,746,315,95488000,40320000,63.04,106.92,54.86,101.97,147.83,62.41,18922562.01,7988769.08,100%,100%,23,23,23
09:41:44,722,332,92416000,42496000,61.86,108.21,53.99,103.44,143.3,65.89,18341873.58,8434254.39,100%,100%,24,24,24
09:41:49,731,323,93568000,41344000,64.54,104.37,56.22,99.49,144.55,63.88,18502423.73,8176526.65,100%,100%,25,25,25
09:41:54,725,319,92800000,40832000,63.95,107.41,55.78,102.58,143.83,63.26,18410696.96,8097253.82,100%,100%,26,26,26
09:41:59,574,236,73472000,30208000,63.28,106.81,54.94,102.05,149.24,61.37,19102227.18,7854834.98,100%,100%,27,27,27
