BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
4k,1048576,26.7358,40.2,2018-02-01 17:10:35
4k,1048576,26.9977,39.8,2018-02-01 17:15:51
4k,1048576,28.1559,38.1,2018-02-01 17:05:19
