BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
4k,1048576,9.31643,115,2018-02-01 17:10:35
4k,1048576,5.45728,197,2018-02-01 17:15:51
4k,1048576,5.50379,195,2018-02-01 17:05:19
