BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
1G,1,5.38438,199,2018-02-01 17:13:03
1G,1,5.23105,205,2018-02-01 17:18:15
1G,1,5.41599,198,2018-02-01 17:07:43
