BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
1G,1,4.80479,223,2018-02-01 17:13:03
1G,1,8.3733,128,2018-02-01 17:18:15
1G,1,8.44891,127,2018-02-01 17:07:43
