Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
17:16:42,0,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,0,0,0
17:16:47,42,0,168000000,0,8454.07,N/A,3573.64,N/A,5.05,0,20218812.12,0,100%,N/A,1,1,1
17:16:52,115,0,460000000,0,12482.73,N/A,4911.91,N/A,18.67,0,74693368.9,0,100%,N/A,2,2,2
17:16:57,118,0,472000000,0,17325.78,N/A,5769.57,N/A,20.57,0,82272410.46,0,100%,N/A,3,3,3
17:17:02,56,0,224000000,0,21641.02,N/A,7121.75,N/A,10.38,0,41524289.78,0,100%,N/A,4,4,4
17:17:07,21,0,84000000,0,26923.76,N/A,9025.86,N/A,3.9,0,15618079.07,0,100%,N/A,5,5,5
17:17:12,82,0,328000000,0,21976.3,N/A,13815.35,N/A,15.74,0,62973028.51,0,100%,N/A,6,6,6
17:17:17,80,0,320000000,0,21440.26,N/A,12658.14,N/A,16.11,0,64435644.26,0,100%,N/A,7,7,7
17:17:22,55,0,220000000,0,24737.69,N/A,14171.44,N/A,11.13,0,44534370.84,0,100%,N/A,8,8,8
17:17:27,38,0,152000000,0,22355.18,N/A,13981.84,N/A,7.37,0,29464242.47,0,100%,N/A,9,9,9
17:17:32,78,0,312000000,0,17742.17,N/A,11363.13,N/A,15.58,0,62312947.59,0,100%,N/A,10,10,10
17:17:37,61,17,244000000,68000000,18254.25,59185.35,11166.74,31044.76,12.06,3.16,48254547.98,12642609.68,100%,100%,11,11,11
17:17:42,0,2,0,8000000,N/A,59974.5,N/A,31457.5,0,0.4,0,1600667.02,N/A,100%,12,12,12
17:17:47,0,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,13,13,13
17:17:52,0,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,14,14,14
