Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
17:18:00,1589,0,50.69,50.69,315.66,0,100%,0,0,0
17:18:05,1614,0,49.81,49.81,321.13,0,100%,1,1,1
17:18:10,1587,0,50.65,50.65,315.99,0,100%,2,2,2
17:18:15,1559,0,51.62,51.62,309.99,0,100%,3,3,3
17:18:20,1449,0,52.17,52.17,287.59,0,100%,4,4,4
17:18:25,1239,0,52.76,52.76,259.34,0,100%,5,5,5
17:18:30,1110,0,54.4,54.4,274.85,0,100%,6,6,6
17:18:35,1332,0,52.82,52.82,339.57,0,100%,7,7,7
17:18:40,1159,0,56.37,56.37,261.93,0,100%,8,8,8
17:18:45,1385,0,54.5,54.5,336.92,0,100%,9,9,9
17:18:50,1371,0,55.08,55.08,292.67,0,100%,10,10,10
17:18:55,1307,0,57.7,57.7,279.55,0,100%,11,11,11
17:19:00,1441,0,55.91,55.91,306.11,0,100%,12,12,12
17:19:05,1419,0,55.26,55.26,290.62,0,100%,13,13,13
17:19:10,840,0,51.64,51.64,321.91,0,100%,14,14,14
17:19:15,493,0,40.65,40.65,98.39,0,100%,15,15,15
17:19:20,763,0,26.25,26.25,152.34,0,100%,16,16,16
17:19:25,407,0,25.58,25.58,155.15,0,100%,17,17,17
