================================================== stage: s1-init ==================================================
---------------------------------- mission: MBA6E02D3CC, driver: driver1 ----------------------------------
2017-11-10 17:00:43,839 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects139
2017-11-10 17:00:43,856 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects5
2017-11-10 17:00:44,011 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects177
2017-11-10 17:00:44,168 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects63
2017-11-10 17:00:44,411 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects121
2017-11-10 17:00:44,415 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects216
2017-11-10 17:00:44,420 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects83
2017-11-10 17:00:44,427 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects289
2017-11-10 17:00:44,446 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects271
2017-11-10 17:00:44,543 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects158
2017-11-10 17:00:44,571 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects252
2017-11-10 17:00:44,599 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects140
2017-11-10 17:00:44,651 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects45
2017-11-10 17:00:44,821 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects235
2017-11-10 17:00:44,911 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects26
2017-11-10 17:00:45,023 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects64
2017-11-10 17:00:45,134 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects84
2017-11-10 17:00:45,176 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects253
2017-11-10 17:00:45,202 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects272
2017-11-10 17:00:45,227 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects101
2017-11-10 17:00:45,233 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects217
2017-11-10 17:00:45,386 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects197
2017-11-10 17:00:45,437 [INFO] [NoneStorage] - performing PUT at /s3testqwer1/myobjects141
