BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
512,106954752,144.532,7.4,2018-02-01 17:07:57
512,106954752,144.461,7.4,2018-02-01 17:13:14
512,106954752,137.962,7.8,2018-02-01 17:02:53
