BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
512,106954752,11.788,91.1,2018-02-01 17:07:57
512,106954752,11.4622,93.7,2018-02-01 17:13:14
512,106954752,7.38665,145,2018-02-01 17:02:53
