BlockSize(K),Bytes,Time(s),TransferRate(MB/s),TimeStamp
4,4096,0.00241895,1.7,2017-11-07 17:06:35
64,65536,0.000581053,113,2017-11-07 17:06:39
128,131072,0.000810647,162,2017-11-07 17:06:39
512,524288,0.00116505,450,2017-11-07 17:06:39
1024,1048576,0.00173799,603,2017-11-07 17:06:40
4096,4194304,0.0046129,909,2017-11-07 17:06:40
65536,67108864,0.0465034,1433.6,2017-11-07 17:06:40
131072,134217728,0.0849943,1638.4,2017-11-07 17:06:40
524288,536870912,0.544477,986,2017-11-07 17:06:40
1232896,1073741824,2.22161,483,2017-11-07 17:06:41
4,4096,0.000478974,8.6,2017-11-07 17:06:46
64,65536,0.000573946,114,2017-11-07 17:06:46
128,131072,0.00058104,226,2017-11-07 17:06:46
512,524288,0.00114297,459,2017-11-07 17:06:46
1024,1048576,0.00136168,770,2017-11-07 17:06:46
4096,4194304,0.00507669,826,2017-11-07 17:06:46
65536,67108864,0.0776899,864,2017-11-07 17:06:46
131072,134217728,0.108939,1228.8,2017-11-07 17:06:46
524288,536870912,0.974252,551,2017-11-07 17:06:46
1232896,1073741824,2.22826,482,2017-11-07 17:06:48
4,4096,0.000504968,8.1,2017-11-07 17:06:53
64,65536,0.000483377,136,2017-11-07 17:06:53
128,131072,0.000585067,224,2017-11-07 17:06:53
512,524288,0.00106669,492,2017-11-07 17:06:53
1024,1048576,0.0017607,596,2017-11-07 17:06:53
4096,4194304,0.00423129,991,2017-11-07 17:06:53
65536,67108864,0.0774974,866,2017-11-07 17:06:53
131072,134217728,0.125411,1126.4,2017-11-07 17:06:53
524288,536870912,0.988208,543,2017-11-07 17:06:54
1232896,1073741824,2.25036,477,2017-11-07 17:06:55
4,4096,0.000399854,10.2,2017-11-07 17:07:00
64,65536,0.000405886,161,2017-11-07 17:07:00
128,131072,0.000499744,262,2017-11-07 17:07:00
512,524288,0.000987293,531,2017-11-07 17:07:00
1024,1048576,0.00189326,554,2017-11-07 17:07:00
4096,4194304,0.004318,971,2017-11-07 17:07:00
65536,67108864,0.075161,893,2017-11-07 17:07:00
131072,134217728,0.125751,1126.4,2017-11-07 17:07:00
524288,536870912,0.992653,541,2017-11-07 17:07:01
1232896,1073741824,2.42432,443,2017-11-07 17:07:03
4,4096,0.000350137,11.7,2017-11-07 17:07:07
64,65536,0.000397227,165,2017-11-07 17:07:07
128,131072,0.000465555,282,2017-11-07 17:07:07
512,524288,0.00109905,477,2017-11-07 17:07:07
1024,1048576,0.0017766,590,2017-11-07 17:07:07
4096,4194304,0.00438977,955,2017-11-07 17:07:07
65536,67108864,0.0775131,866,2017-11-07 17:07:07
131072,134217728,0.113589,1228.8,2017-11-07 17:07:07
524288,536870912,0.975685,550,2017-11-07 17:07:08
1232896,1073741824,2.33761,459,2017-11-07 17:07:09
4,4096,0.000354915,11.5,2017-11-07 17:07:14
64,65536,0.000459998,142,2017-11-07 17:07:14
128,131072,0.000525856,249,2017-11-07 17:07:14
512,524288,0.000803937,652,2017-11-07 17:07:14
1024,1048576,0.00120863,868,2017-11-07 17:07:14
4096,4194304,0.00487473,860,2017-11-07 17:07:14
65536,67108864,0.0724037,927,2017-11-07 17:07:14
131072,134217728,0.122848,1126.4,2017-11-07 17:07:15
524288,536870912,0.985672,545,2017-11-07 17:07:15
1232896,1073741824,2.21854,484,2017-11-07 17:07:17
4,4096,0.000413266,9.9,2017-11-07 17:07:21
64,65536,0.000397471,165,2017-11-07 17:07:21
128,131072,0.000455574,288,2017-11-07 17:07:22
512,524288,0.000771676,679,2017-11-07 17:07:22
1024,1048576,0.00170054,617,2017-11-07 17:07:22
4096,4194304,0.00435159,964,2017-11-07 17:07:22
65536,67108864,0.0772355,869,2017-11-07 17:07:22
131072,134217728,0.113142,1228.8,2017-11-07 17:07:22
524288,536870912,0.971249,553,2017-11-07 17:07:22
1232896,1073741824,2.2378,480,2017-11-07 17:07:24
4,4096,0.000499047,8.2,2017-11-07 17:07:29
64,65536,0.000438531,149,2017-11-07 17:07:29
128,131072,0.000564921,232,2017-11-07 17:07:29
512,524288,0.000800858,655,2017-11-07 17:07:29
1024,1048576,0.00126294,830,2017-11-07 17:07:29
4096,4194304,0.0038096,1126.4,2017-11-07 17:07:29
65536,67108864,0.0787361,852,2017-11-07 17:07:29
131072,134217728,0.120515,1126.4,2017-11-07 17:07:29
524288,536870912,1.0097,532,2017-11-07 17:07:29
1232896,1073741824,2.22116,483,2017-11-07 17:07:31
4,4096,0.000441979,9.3,2017-11-07 17:07:36
64,65536,0.000501269,131,2017-11-07 17:07:36
128,131072,0.000603811,217,2017-11-07 17:07:36
512,524288,0.000905702,579,2017-11-07 17:07:36
1024,1048576,0.00128416,817,2017-11-07 17:07:36
4096,4194304,0.00497037,844,2017-11-07 17:07:36
65536,67108864,0.0709835,945,2017-11-07 17:07:36
131072,134217728,0.12376,1126.4,2017-11-07 17:07:36
524288,536870912,0.975585,550,2017-11-07 17:07:37
1232896,1073741824,2.24978,477,2017-11-07 17:07:38
4,4096,0.000529014,7.7,2017-11-07 17:07:43
64,65536,0.000483655,136,2017-11-07 17:07:43
128,131072,0.000619564,212,2017-11-07 17:07:43
512,524288,0.00086464,606,2017-11-07 17:07:43
1024,1048576,0.0013554,774,2017-11-07 17:07:43
4096,4194304,0.00372706,1126.4,2017-11-07 17:07:43
65536,67108864,0.0710088,945,2017-11-07 17:07:43
131072,134217728,0.111642,1228.8,2017-11-07 17:07:43
524288,536870912,0.990083,542,2017-11-07 17:07:44
1232896,1073741824,2.29098,469,2017-11-07 17:07:46
