BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
512M,1024,9.38371,114,2018-02-01 17:12:45
512M,1024,6.36476,169,2018-02-01 17:18:00
512M,1024,5.41231,198,2018-02-01 17:07:29
