BlockSize,FileSize,Time(s),TransferRate(MB/s),TimeStamp
512M,1024,8.10849,132,2018-02-01 17:12:45
512M,1024,8.05967,133,2018-02-01 17:18:00
512M,1024,8.01972,134,2018-02-01 17:07:29
