Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,436,55808000,79,68.43,7.27,930940.15,100%
write,write,201,25728000,126.78,122.01,3.35,429171.95,100%
read,read,464,59392000,72.45,62.84,7.74,990444.43,100%
write,write,216,27648000,121.86,116.98,3.6,461068.96,100%
read,read,448,57344000,73.06,62.96,7.48,956801.76,100%
write,write,225,28800000,120.76,115.98,3.75,480536.6,100%
read,read,448,57344000,80.23,69.48,7.47,955812.98,100%
write,write,185,23680000,129.92,124.9,3.08,394699.56,100%
read,read,477,61056000,74.83,64.15,7.95,1017786.59,100%
write,write,200,25600000,121.4,116.64,3.33,426744.9,100%
read,read,445,56960000,73.07,62.64,7.42,949475.75,100%
write,write,221,28288000,124.22,119.66,3.68,471537.4,100%
read,read,480,61440000,71.85,61.94,8,1024614.77,100%
write,write,207,26496000,122.96,118.19,3.45,441865.12,100%
read,read,445,56960000,77.64,66.62,7.43,950838.83,100%
write,write,190,24320000,133.38,128.68,3.17,405976.13,100%
read,read,448,57344000,75.28,65.46,7.47,955765.19,100%
write,write,208,26624000,126.18,121.66,3.47,443748.12,100%
read,read,471,60288000,75.24,65.37,7.86,1006208.69,100%
write,write,201,25728000,121.67,116.81,3.35,429401.16,100%
read,read,465,59520000,73.05,62.6,7.75,992231.52,100%
write,write,212,27136000,122.66,117.82,3.53,452372.22,100%
read,read,488,62464000,71.88,61.28,8.15,1042839.49,100%
write,write,202,25856000,122.74,118,3.37,431667.17,100%
read,read,476,60928000,74.24,64.1,7.95,1017111,100%
write,write,199,25472000,123.35,118.36,3.32,425220.77,100%
read,read,484,61952000,72.6,63.09,8.08,1034447.06,100%
write,write,198,25344000,124.94,120.31,3.31,423182.89,100%
read,read,475,60800000,73.21,63.06,7.92,1013417.78,100%
write,write,207,26496000,121.68,116.91,3.45,441636.8,100%
read,read,484,61952000,75.73,65.68,8.07,1032963.73,100%
write,write,188,24064000,123.99,119.52,3.13,401233.85,100%
