Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,1602,205056000,21.19,16.59,26.71,3418967.59,100%
write,write,755,96640000,34.39,30.05,12.59,1611311.19,100%
read,read,1555,199040000,23.73,18.98,25.92,3318052.24,100%
write,write,657,84096000,35.01,30.7,10.95,1401903.75,100%
read,read,1618,207104000,22.4,17.54,26.97,3451905.93,100%
write,write,671,85888000,35.29,30.96,11.18,1431538.24,100%
read,read,1676,214528000,22.17,17.52,27.96,3579165.14,100%
write,write,666,85248000,34.12,29.78,11.11,1422269.68,100%
