Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
16:39:54,310,109,39680000,13952000,287.89,392.5,278.14,370.99,61.06,21.45,7815455.78,2746197.03,100%,100%,0,0,0
16:39:59,578,210,73984000,26880000,290.68,518.76,281.7,506.12,106.83,38.49,13674044.12,4926739.08,100%,100%,1,1,1
16:40:04,603,255,77184000,32640000,275.72,487.78,266.74,482.52,140.83,59.42,18025840.96,7605619.66,100%,100%,2,2,2
16:40:09,701,322,89728000,41216000,256.88,457.45,247.57,452.32,152.57,71.8,19528430.94,9190579.3,100%,100%,3,3,3
16:40:14,716,283,91648000,36224000,272.1,506.21,263.19,501.21,140.33,54.66,17962719.45,6996711.03,100%,100%,4,4,4
16:40:19,743,285,95104000,36480000,267.12,489.55,257.28,484.46,141.05,53.94,18054074.05,6904619.42,100%,100%,5,5,5
16:40:24,704,304,90112000,38912000,283.75,449.9,274.39,444.88,134.08,57.9,17162582.37,7411063.29,100%,100%,6,6,6
16:40:29,728,319,93184000,40832000,252.56,478.11,245.13,473.44,139.18,60.61,17814809.75,7757556.07,100%,100%,7,7,7
16:40:34,698,307,89344000,39296000,271.09,470.14,263.29,465.27,132.71,58.37,16987402.06,7471482.77,100%,100%,8,8,8
16:40:39,718,323,91904000,41344000,276.17,452.64,266.88,447.44,134.99,61.49,17278786.4,7870501.53,100%,100%,9,9,9
16:40:44,713,307,91264000,39296000,279.1,461.11,270.39,456.25,132.4,56.93,16947248.61,7286952.02,100%,100%,10,10,10
16:40:49,306,104,39168000,13312000,250.94,437.76,243.06,432.92,178,66.9,22784623.11,8562668,100%,100%,11,11,11
