Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
16:48:43,59,32,59000000,32000000,49.8,64.81,18.58,31.84,11.76,6.38,11764705.88,6380857.43,100%,100%,0,0,0
16:48:48,85,26,85000000,26000000,40.42,61.77,12.99,29.35,16.86,5.16,16858389.53,5156683.86,100%,100%,1,1,1
16:48:53,67,36,67000000,36000000,40.57,63.53,13.01,30.19,13.38,7.19,13383939.27,7191370.36,100%,100%,2,2,2
16:48:58,80,28,80000000,28000000,40.55,63.71,13.24,29.86,15.9,5.57,15901411.25,5565493.94,100%,100%,3,3,3
16:49:03,84,26,84000000,26000000,39.39,64.96,12.77,32.5,16.8,5.2,16796640.67,5198960.21,100%,100%,4,4,4
16:49:08,67,35,67000000,35000000,41.9,63.63,13.75,31.43,13.3,6.95,13298928.15,6947201.27,100%,100%,5,5,5
16:49:13,62,38,62000000,38000000,42,64.18,14.11,30.82,12.27,7.52,12267510.88,7518796.99,100%,100%,6,6,6
16:49:18,73,31,73000000,31000000,41.48,63.71,13.3,30.19,14.59,6.19,14585414.59,6193806.19,100%,100%,7,7,7
16:49:23,92,20,92000000,20000000,40.51,64.6,13.3,32.6,18.32,3.98,18323043.22,3983270.26,100%,100%,8,8,8
16:49:28,0,0,N/A,N/A,0,0,N/A,9,9,9
16:49:33,74,32,74000000,32000000,40.49,64.62,13.47,31.03,29.23,12.64,29225908.37,12638230.65,100%,100%,10,10,10
16:49:38,68,29,68000000,29000000,41.44,65.34,13.66,31.34,14.43,6.15,14428177.38,6153193.3,100%,100%,11,11,11
