Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,read,write,read,write,read,write,read,write,read,write,read,write,read,write,Min-Version,Version,Max-Version
16:51:52,169,58,169000000,58000000,259.43,302.45,124.05,185.9,33.02,11.34,33022821,11337676.81,100%,100%,0,0,0
16:51:57,116,39,116000000,39000000,254.38,320.69,98.65,205.79,22.19,7.41,22192654.34,7413567.6,100%,100%,1,1,1
16:52:02,145,70,145000000,70000000,259.51,353.63,111.43,225.87,46.49,22.53,46489316.19,22532735.53,100%,100%,2,2,2
16:52:07,195,94,195000000,94000000,256.52,350.16,99.09,223.54,45.69,24,45690688.62,24001216.38,100%,100%,3,3,3
16:52:12,203,85,203000000,85000000,261.18,349.44,103.7,222.45,39.28,16.44,39280430.28,16442348.4,100%,100%,4,4,4
16:52:17,205,93,205000000,93000000,248.23,345.87,109.13,213.62,39.46,17.93,39457635.93,17925569.57,100%,100%,5,5,5
16:52:22,209,86,209000000,86000000,264.27,319.09,106.8,210.58,40.42,16.7,40421326.13,16696120.33,100%,100%,6,6,6
16:52:27,197,95,197000000,95000000,265.02,321.16,111.01,202.98,38.11,18.41,38114400.16,18405865.86,100%,100%,7,7,7
16:52:32,223,80,223000000,80000000,247.56,345.15,106.3,221.77,43.11,15.41,43111609.24,15409182.79,100%,100%,8,8,8
16:52:37,216,85,216000000,85000000,252.15,322.2,102.49,205.01,42.23,16.63,42233092.32,16633516.71,100%,100%,9,9,9
16:52:42,210,81,210000000,81000000,264,343.15,114.4,213.07,40.35,15.56,40347038.36,15558530.36,100%,100%,10,10,10
16:52:47,125,58,125000000,58000000,254.84,325.95,112.4,210.72,39.4,18.32,39399171.28,18316087.41,100%,100%,11,11,11
